accession,file,role,size_bytes,sha256,source_url
GSE274113,GSE274113_annotated_metadata.csv.gz,author_qc_cell_whitelist_and_annotations,3307117,6330eac958790fdde5a0d5fd96419125fed4a621d3adfb100cf96675478aa261,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_annotated_metadata.csv.gz
GSE274113,GSE274113_rep13_filtered_feature_bc_matrix.h5,day14_multiome_rep13,167753914,384c330d2d63837355c5532d15b07d5b1172f3ec90d46a5dcc5fd2a3684d6c03,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep13_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep14_filtered_feature_bc_matrix.h5,day14_multiome_rep14,167889976,4dce4979cc61718d45f36f82dbf41a71b78815ccad352128a6798f973a2c1e60,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep14_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep16_filtered_feature_bc_matrix.h5,day14_multiome_rep16,198289278,e41e31ec86a265909687f32103a9e273216ce113731616071aaf2c6b39d7395a,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep16_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep1_filtered_feature_bc_matrix.h5,day7_multiome_rep1,289235875,6e11423c900caf37b8eb063de185dacc038d83ebca01bb7c98296e25cdd65ab0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep1_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep2_filtered_feature_bc_matrix.h5,day7_multiome_rep2,228241935,6698ae04b5b4102c285393fd79ff84cc7894f032c5de46718da9b828afa65995,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep2_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep3_filtered_feature_bc_matrix.h5,day7_multiome_rep3,184666689,109b50baf15e782bc4c2178fe54b83f6c637502f82ff10f2b402807aec788af6,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep3_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep4_filtered_feature_bc_matrix.h5,day7_multiome_rep4,316962263,460b1db3b101ffbadf0d5c6298a31a1ff7125693cda20195af57aafa4f92d1ea,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep4_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep5_filtered_feature_bc_matrix.h5,day9_multiome_rep5,235083990,38f2553bc255bfc04519e7ac59193b33ca6f94236aa9424692c85bf3f67a4b80,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep5_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep6_filtered_feature_bc_matrix.h5,day9_multiome_rep6,257300982,691d253e518672085b2fcef7f7709248e0639b0d0fb16724cc32204071f50e8e,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep6_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep7_filtered_feature_bc_matrix.h5,day9_multiome_rep7,243529044,d0ee24735f5dee1857726e45cc16099a4d243f2f446b8828eccc45ba489201b3,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep7_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep8_filtered_feature_bc_matrix.h5,day9_multiome_rep8,320391753,3c669d57eb40f0fd1961f65f54859639467dd8d0c490dd20912ca80b79b82c7b,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep8_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep9_filtered_feature_bc_matrix.h5,day11_multiome_rep9,175044644,1958eaa086537c2f8cd89f4dbc103d4bfa4f152be228ae195544d0cd3806cc60,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep9_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep10_filtered_feature_bc_matrix.h5,day11_multiome_rep10,185593406,3dfe66517cbfafe9b93360bad984a4b5d3e1278d1ae707ebccebfe14aa9f8df5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep10_filtered_feature_bc_matrix.h5
GSE274113,GSE274113_rep12_filtered_feature_bc_matrix.h5,day11_multiome_rep12,172401672,3b000feb92d8433a01e7369d04f54fed73c66d5ded5139693119c823ca425cb2,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274113/suppl/GSE274113_rep12_filtered_feature_bc_matrix.h5
