path,shape_features_by_cells,nonzero_entries,feature_types,gene_feature_signature,h5_barcodes,metadata_barcodes,intersection,metadata_missing_from_h5,h5_cells_excluded_by_metadata_qc,replicate,timepoint,qc_metadata_cells
data/raw/all_timepoints/GSE274113_rep1_filtered_feature_bc_matrix.h5,"[194891, 13168]",200763243,"{'Gene Expression': 36601, 'Peaks': 158290}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,13168,12928,12928,0,240,rep1,day 7,12928
data/raw/all_timepoints/GSE274113_rep2_filtered_feature_bc_matrix.h5,"[189769, 9266]",158993375,"{'Gene Expression': 36601, 'Peaks': 153168}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,9266,9095,9095,0,171,rep2,day 7,9095
data/raw/all_timepoints/GSE274113_rep3_filtered_feature_bc_matrix.h5,"[184630, 8276]",127594931,"{'Gene Expression': 36601, 'Peaks': 148029}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,8276,8078,8078,0,198,rep3,day 7,8078
data/raw/all_timepoints/GSE274113_rep4_filtered_feature_bc_matrix.h5,"[194848, 13915]",221319117,"{'Gene Expression': 36601, 'Peaks': 158247}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,13915,13622,13622,0,293,rep4,day 7,13622
data/raw/all_timepoints/GSE274113_rep5_filtered_feature_bc_matrix.h5,"[178847, 11332]",163197337,"{'Gene Expression': 36601, 'Peaks': 142246}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,11332,11233,11233,0,99,rep5,day 9,11233
data/raw/all_timepoints/GSE274113_rep6_filtered_feature_bc_matrix.h5,"[178627, 12282]",179114965,"{'Gene Expression': 36601, 'Peaks': 142026}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,12282,12193,12193,0,89,rep6,day 9,12193
data/raw/all_timepoints/GSE274113_rep7_filtered_feature_bc_matrix.h5,"[175965, 11510]",169552830,"{'Gene Expression': 36601, 'Peaks': 139364}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,11510,11412,11412,0,98,rep7,day 9,11412
data/raw/all_timepoints/GSE274113_rep8_filtered_feature_bc_matrix.h5,"[183576, 15407]",223452442,"{'Gene Expression': 36601, 'Peaks': 146975}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,15407,15278,15278,0,129,rep8,day 9,15278
data/raw/all_timepoints/GSE274113_rep9_filtered_feature_bc_matrix.h5,"[161732, 7106]",121133449,"{'Gene Expression': 36601, 'Peaks': 125131}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,7106,6991,6991,0,115,rep9,day 11,6991
data/raw/all_timepoints/GSE274113_rep10_filtered_feature_bc_matrix.h5,"[162044, 7360]",128976835,"{'Gene Expression': 36601, 'Peaks': 125443}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,7360,7285,7285,0,75,rep10,day 11,7285
data/raw/all_timepoints/GSE274113_rep12_filtered_feature_bc_matrix.h5,"[160917, 6595]",119809962,"{'Gene Expression': 36601, 'Peaks': 124316}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,6595,6515,6515,0,80,rep12,day 11,6515
data/raw/all_timepoints/GSE274113_rep13_filtered_feature_bc_matrix.h5,"[136365, 10678]",113657562,"{'Gene Expression': 36601, 'Peaks': 99764}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,10678,6611,6611,0,4067,rep13,day 14,6611
data/raw/all_timepoints/GSE274113_rep14_filtered_feature_bc_matrix.h5,"[130175, 12224]",113826535,"{'Gene Expression': 36601, 'Peaks': 93574}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,12224,7743,7743,0,4481,rep14,day 14,7743
data/raw/all_timepoints/GSE274113_rep16_filtered_feature_bc_matrix.h5,"[137410, 13596]",134237296,"{'Gene Expression': 36601, 'Peaks': 100809}",96e8838bc435bbc81b9f7b371fe2bf2ca9707195b9b97c7c5ea5678048b2595a,13596,8620,8620,0,4976,rep16,day 14,8620
