method,top_percent,truth,selected_edges,observed_support_rate,matched_null_mean,enrichment_ratio,empirical_p_value,null_q025,null_q975
residualized_association,1,author_effect_025,432,0.12037037037037036,0.049305555555555554,2.4413145539906105,0.000999000999000999,0.03009259259259259,0.06712962962962964
residualized_association,1,author_supported_concordant,432,0.09027777777777778,0.03279861111111111,2.752487825534618,0.000999000999000999,0.018518518518518517,0.04861111111111111
residualized_association,5,author_effect_025,2184,0.07783882783882784,0.04273122710622709,1.821591213501206,0.000999000999000999,0.0347985347985348,0.05128205128205128
residualized_association,5,author_supported_concordant,2184,0.05128205128205128,0.02544139194139194,2.0156936145705853,0.000999000999000999,0.019230769230769232,0.03250915750915751
residualized_association,10,author_effect_025,4374,0.061957018747142205,0.04102514860539552,1.510220458750362,0.000999000999000999,0.03566529492455418,0.046410608139003204
residualized_association,10,author_supported_concordant,4374,0.039780521262002745,0.024023319615912208,1.6559127505281792,0.000999000999000999,0.020118884316415182,0.028120713305898493
GRNBoost2,1,author_effect_025,432,0.04861111111111111,0.04777777777777777,1.0174418604651163,0.48951048951048953,0.03009259259259259,0.06944444444444445
GRNBoost2,1,author_supported_concordant,432,0.02546296296296296,0.02703472222222222,0.9418614607415019,0.6183816183816184,0.013888888888888888,0.041666666666666664
GRNBoost2,5,author_effect_025,2184,0.043498168498168496,0.04454807692307692,0.976432014636202,0.6233766233766234,0.036172161172161175,0.05311355311355311
GRNBoost2,5,author_supported_concordant,2184,0.023809523809523808,0.02472893772893773,0.9628203229151236,0.6213786213786214,0.018772893772893772,0.030677655677655676
GRNBoost2,10,author_effect_025,4374,0.0386374028349337,0.043665752171925004,0.8848445500905789,0.9630369630369631,0.03818015546410608,0.04938271604938271
GRNBoost2,10,author_supported_concordant,4374,0.018747142203932327,0.02476040237768633,0.7571420657051577,0.998001998001998,0.02034750800182899,0.029492455418381344
consensus,1,author_effect_025,432,0.06481481481481481,0.04395138888888889,1.4746932111444673,0.016983016983016984,0.02546296296296296,0.0625
consensus,1,author_supported_concordant,432,0.032407407407407406,0.026935185185185187,1.2031625988312133,0.2647352647352647,0.013888888888888888,0.041666666666666664
consensus,5,author_effect_025,2184,0.054945054945054944,0.04335164835164835,1.267427122940431,0.007992007992007992,0.0347985347985348,0.051739926739926737
consensus,5,author_supported_concordant,2184,0.028846153846153848,0.02577655677655678,1.1190848372886173,0.18181818181818182,0.019688644688644688,0.03159340659340659
consensus,10,author_effect_025,4374,0.05189757658893461,0.04213397347965248,1.2317275657373545,0.000999000999000999,0.037037037037037035,0.04801097393689986
consensus,10,author_supported_concordant,4374,0.03017832647462277,0.024756058527663466,1.2190279175863248,0.014985014985014986,0.020118884316415182,0.029721079103795154
