TF,target,target_symbol,target_gene_id,signed_association_day14_frozen,absolute_association_day14_frozen,frozen_day14_E0,signed_association_day7,absolute_association_day7,rank_fraction_day7,bootstrap_top5_frequency_day7,bootstrap_sign_consistency_day7,E0_timepoint_day7,power_matched_bootstrap_top5_frequency_day7,power_matched_bootstrap_sign_consistency_day7,E0_timepoint_power_matched_day7,state_unadjusted_signed_association_day7,state_unadjusted_absolute_association_day7,state_unadjusted_rank_fraction_day7,state_unadjusted_bootstrap_top5_frequency_day7,state_unadjusted_bootstrap_sign_consistency_day7,state_unadjusted_E0_timepoint_day7,signed_association_day9,absolute_association_day9,rank_fraction_day9,bootstrap_top5_frequency_day9,bootstrap_sign_consistency_day9,E0_timepoint_day9,power_matched_bootstrap_top5_frequency_day9,power_matched_bootstrap_sign_consistency_day9,E0_timepoint_power_matched_day9,state_unadjusted_signed_association_day9,state_unadjusted_absolute_association_day9,state_unadjusted_rank_fraction_day9,state_unadjusted_bootstrap_top5_frequency_day9,state_unadjusted_bootstrap_sign_consistency_day9,state_unadjusted_E0_timepoint_day9,signed_association_day11,absolute_association_day11,rank_fraction_day11,bootstrap_top5_frequency_day11,bootstrap_sign_consistency_day11,E0_timepoint_day11,power_matched_bootstrap_top5_frequency_day11,power_matched_bootstrap_sign_consistency_day11,E0_timepoint_power_matched_day11,state_unadjusted_signed_association_day11,state_unadjusted_absolute_association_day11,state_unadjusted_rank_fraction_day11,state_unadjusted_bootstrap_top5_frequency_day11,state_unadjusted_bootstrap_sign_consistency_day11,state_unadjusted_E0_timepoint_day11,signed_association_day14,absolute_association_day14,rank_fraction_day14,bootstrap_top5_frequency_day14,bootstrap_sign_consistency_day14,E0_timepoint_day14,power_matched_bootstrap_top5_frequency_day14,power_matched_bootstrap_sign_consistency_day14,E0_timepoint_power_matched_day14,state_unadjusted_signed_association_day14,state_unadjusted_absolute_association_day14,state_unadjusted_rank_fraction_day14,state_unadjusted_bootstrap_top5_frequency_day14,state_unadjusted_bootstrap_sign_consistency_day14,state_unadjusted_E0_timepoint_day14,discovery_pattern,power_matched_discovery_pattern,discovery_class,any_preterminal_E0,preterminal_E0_omitted_by_day14,power_matched_preterminal_E0,power_robust_preterminal_omission,state_unadjusted_preterminal_E0,state_unadjusted_preterminal_omission,state_unadjusted_only_preterminal_omission,effective_guides_used,effective_guide_names,E1_supported,E1_direction_concordant,discovery_anchor_timepoint,signed_association,feature_index,effective_guides_used_time_resolved,effective_guide_names_time_resolved,strict_time_resolved_testable,strict_time_resolved_unresolved_reason,interaction_f_stat,interaction_p_value,model_df_numerator,model_df_denominator,effect_day 7,effect_se_day 7,effect_p_value_day 7,effect_day 9,effect_se_day 9,effect_p_value_day 9,effect_day 11,effect_se_day 11,effect_p_value_day 11,effect_day 14,effect_se_day 14,effect_p_value_day 14,effect_difference_day 7_vs_day 9,effect_difference_se_day 7_vs_day 9,effect_difference_p_value_day 7_vs_day 9,effect_difference_day 7_vs_day 11,effect_difference_se_day 7_vs_day 11,effect_difference_p_value_day 7_vs_day 11,effect_difference_day 7_vs_day 14,effect_difference_se_day 7_vs_day 14,effect_difference_p_value_day 7_vs_day 14,effect_difference_day 9_vs_day 11,effect_difference_se_day 9_vs_day 11,effect_difference_p_value_day 9_vs_day 11,effect_difference_day 9_vs_day 14,effect_difference_se_day 9_vs_day 14,effect_difference_p_value_day 9_vs_day 14,effect_difference_day 11_vs_day 14,effect_difference_se_day 11_vs_day 14,effect_difference_p_value_day 11_vs_day 14,consistent_effective_guides_day 7,effective_guide_direction_consistent_day 7,leave_one_effective_guide_out_direction_consistent_day 7,consistent_effective_guides_day 9,effective_guide_direction_consistent_day 9,leave_one_effective_guide_out_direction_consistent_day 9,consistent_effective_guides_day 11,effective_guide_direction_consistent_day 11,leave_one_effective_guide_out_direction_consistent_day 11,consistent_effective_guides_day 14,effective_guide_direction_consistent_day 14,leave_one_effective_guide_out_direction_consistent_day 14,effect_fdr_edge_time_day 7,effect_fdr_edge_time_day 9,effect_fdr_edge_time_day 11,effect_fdr_edge_time_day 14,interaction_fdr,effect_fdr_within_timepoint_day 7,strict_total_support_day 7,strict_direction_concordant_day 7,negligible_effect_supported_day 7,effect_fdr_within_timepoint_day 9,strict_total_support_day 9,strict_direction_concordant_day 9,negligible_effect_supported_day 9,effect_fdr_within_timepoint_day 11,strict_total_support_day 11,strict_direction_concordant_day 11,negligible_effect_supported_day 11,effect_fdr_within_timepoint_day 14,strict_total_support_day 14,strict_direction_concordant_day 14,negligible_effect_supported_day 14,effect_difference_fdr_edge_pair_day 7_vs_day 9,effect_difference_fdr_edge_pair_day 7_vs_day 11,effect_difference_fdr_edge_pair_day 7_vs_day 14,effect_difference_fdr_edge_pair_day 9_vs_day 11,effect_difference_fdr_edge_pair_day 9_vs_day 14,effect_difference_fdr_edge_pair_day 11_vs_day 14,strict_any_timepoint_support,strict_support_pattern,strict_temporal_support_class,state_unadjusted_direction_concordant_day7,state_unadjusted_direction_concordant_day9,state_unadjusted_direction_concordant_day11,state_unadjusted_direction_concordant_day14
BCL11A,SSX2IP,SSX2IP,ENSG00000117155,0.1897966581943535,0.1897966581943535,True,0.0719498765019199,0.0719498765019199,0.14515022636850047,0.04,0.98,False,0.03,1.0,False,0.09133701963847432,0.09133701963847432,0.11606530388256277,0.05,1.0,False,0.07455872145316589,0.07455872145316589,0.13854595336076816,0.02,1.0,False,0.05,0.98,False,0.09060485492644446,0.09060485492644446,0.1279835390946502,0.0,1.0,False,0.029271549131181848,0.029271549131181848,0.5890260631001372,0.0,0.86,False,0.0,0.75,False,0.0846830414527335,0.0846830414527335,0.28669410150891633,0.0,1.0,False,0.1897966581943535,0.1897966581943535,0.0043895747599451305,0.98,1.0,True,0.92,1.0,True,0.277883470068358,0.277883470068358,0.009739368998628258,0.99,1.0,True,0001,0001,day14_only_discovery,False,False,False,False,False,False,False,2,BCL11A_686;BCL11A_752,False,False,day 14,0.1897966581943535,1391,2,BCL11A_686;BCL11A_752,True,not_applicable,3.814432369311472,0.015173749039271048,3.0,52.0,0.01590267150595968,0.049177236307187816,0.7477084420723186,-0.09399159620950007,0.047244157432503396,0.05191909245382629,-0.10375760982369499,0.07583140684235583,0.17711181847265933,-0.2748923959897807,0.07104462491201168,0.0003058988298034851,0.10989426771545975,0.06819392188692595,0.11312547152629476,0.11966028132965467,0.0903814296993795,0.19131107975346748,0.2907950674957404,0.08640450971854086,0.0014423779792048317,0.009766013614194921,0.0893443488710845,0.9133792814356531,0.18090079978028067,0.08531910184944282,0.03877209318688365,0.17113478616608574,0.10391217923121102,0.1056059533097449,1.0,False,False,2.0,True,True,2.0,True,True,2.0,True,True,0.9446801025180657,0.38112037097973583,0.6350076895463573,0.014595744164909148,0.22374416492452182,0.9524932568200137,False,False,True,0.550507202526285,False,True,False,0.7209993983463685,False,True,False,0.0055227140083440015,True,True,False,0.6792284080576761,0.7761661452766134,0.0869330968519243,0.995962820386824,0.46207447405544155,0.6629265100172232,True,0001,localized_support_no_detected_heterogeneity,False,True,True,True
BCL11A,CABIN1,CABIN1,ENSG00000099991,0.0772435469607646,0.0772435469607646,False,0.1597191818798652,0.1597191818798652,0.010975442447523666,0.98,1.0,True,0.86,1.0,True,0.19345038592936076,0.19345038592936076,0.012072986692276032,0.98,1.0,True,0.049720914865335815,0.049720914865335815,0.28161865569272976,0.0,1.0,False,0.02,0.98,False,0.024462635232431723,0.024462635232431723,0.6094650205761317,0.0,0.88,False,0.027531933723553347,0.027531933723553347,0.6112482853223594,0.0,0.8,False,0.0,0.78,False,-0.03269190303218311,0.03269190303218311,0.6563786008230452,0.0,0.83,False,0.07724354696076469,0.07724354696076469,0.21083676268861454,0.01,1.0,False,0.03,0.99,False,0.11807925345865754,0.11807925345865754,0.23319615912208505,0.0,1.0,False,1000,1000,early_only_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 7,0.19345038592936076,34703,2,BCL11A_686;BCL11A_752,True,not_applicable,2.961940578251518,0.0405556431719843,3.0,52.0,-0.03706454585954288,0.10414938949600791,0.7233711819431357,-0.007905071427485252,0.10005544278886883,0.9373303857615497,-0.01608297089240778,0.16059858829643917,0.9206151796314705,-0.509312881322947,0.15046096257502387,0.00136105051747749,-0.029159474432057627,0.14442363713765058,0.8407808541565698,-0.020981574967135097,0.19141317064193966,0.9131373906448218,0.47224833546340417,0.18299070083311308,0.012721001903709462,0.00817789946492253,0.18921680209348687,0.9656919118479643,0.5014078098954617,0.18069198347098672,0.0076531788850636925,0.49322991043053926,0.2200690978347753,0.029304660657873856,2.0,True,False,1.0,False,False,1.0,False,False,2.0,True,True,0.9419015592129285,0.9875574176512568,0.9875574176512568,0.04212693929696236,0.3431180753857922,0.9524932568200137,False,True,False,0.9930796156839258,False,True,False,0.9775845932888606,False,True,False,0.0168366989939808,True,True,False,0.9899936503197948,0.995962820386824,0.2854206885608066,0.9982838727405401,0.2150146655302042,0.4035800846159573,True,0001,localized_support_no_detected_heterogeneity,True,True,False,True
BCL11A,ID2,ID2,ENSG00000115738,-0.0750879206876799,0.0750879206876799,False,-0.1894282576664074,0.1894282576664074,0.00425298394841542,1.0,1.0,True,1.0,1.0,True,-0.22068999439043716,0.22068999439043716,0.006036493346138016,1.0,1.0,True,-0.1683321662012595,0.1683321662012595,0.008779149519890261,0.99,1.0,True,0.95,1.0,True,-0.2145291693249743,0.2145291693249743,0.00905349794238683,1.0,1.0,True,-0.11819634750776771,0.11819634750776771,0.07160493827160494,0.14,1.0,False,0.22,1.0,False,-0.21093269550584623,0.21093269550584623,0.03621399176954732,0.68,1.0,False,-0.07508792068767996,0.07508792068767996,0.22194787379972566,0.0,0.97,False,0.02,1.0,False,-0.13170400100783775,0.13170400100783775,0.18655692729766804,0.0,1.0,False,1100,1100,early_only_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 7,-0.22068999439043716,3513,2,BCL11A_686;BCL11A_752,True,not_applicable,2.882877516888211,0.0444727362194747,3.0,52.0,0.31442011494361216,0.09679469813081654,0.002036458732836436,0.09416351520467064,0.09298985263341333,0.31592976145332713,0.5424134104657106,0.14925763799109895,0.0006392957636968207,0.06593427368511703,0.13983589844739086,0.6392477132442731,0.22025659973894152,0.1342249093090393,0.10684307453611755,-0.2279932955220984,0.17789619468925646,0.20566532452912306,0.24848584125849513,0.1700684923224314,0.1500066299443924,-0.4482498952610399,0.17585492654874893,0.013794209849063663,0.02822924151955361,0.16793210290880342,0.8671573931451485,0.4764791367805935,0.2045285334452652,0.02374275691155622,2.0,True,True,2.0,True,True,2.0,True,True,2.0,True,True,0.05638774854030008,0.7726904554721191,0.024937201176611752,0.9310053163332209,0.34344263346368903,0.07773453905912796,False,True,False,0.9068685138589497,False,True,False,0.07764537639081387,True,True,False,0.8631993704678256,False,True,False,0.6629265100172232,0.7942595206908901,0.7290830207449266,0.29884969229755226,0.9930258923552598,0.370276146698511,True,0010,localized_support_no_detected_heterogeneity,True,True,True,True
BCL11A,SQSTM1,SQSTM1,ENSG00000161011,-0.0592574890882299,0.0592574890882299,False,-0.11519102204102696,0.11519102204102696,0.04184387433118398,0.49,1.0,False,0.33,1.0,False,-0.1597282334305821,0.1597282334305821,0.022774043078611608,0.93,1.0,True,-0.10469564655994502,0.10469564655994502,0.06035665294924554,0.22,1.0,False,0.21,1.0,False,-0.16576960411615335,0.16576960411615335,0.02400548696844993,0.88,1.0,True,-0.08781406266255032,0.08781406266255032,0.14622770919067216,0.02,0.99,False,0.02,1.0,False,-0.20644523505744977,0.20644523505744977,0.03950617283950617,0.67,1.0,False,-0.05925748908822998,0.05925748908822998,0.3381344307270233,0.0,1.0,False,0.0,0.99,False,-0.1107908837824469,0.1107908837824469,0.2598079561042524,0.0,1.0,False,0000,0000,never_selected,False,False,False,False,True,True,True,2,BCL11A_686;BCL11A_752,False,False,day 9,-0.16576960411615335,11144,2,BCL11A_686;BCL11A_752,True,not_applicable,2.263147946720676,0.09199384387355145,3.0,52.0,0.13577854809345408,0.06961067101884336,0.05651068383487857,0.07494827660659695,0.06687438635334121,0.26755122395018094,0.4016366918057725,0.10733980823212222,0.00045746007187972605,0.1503430229684439,0.1005640898873435,0.14095958215784368,0.06083027148685712,0.09652890276922031,0.5313385628902044,-0.2658581437123184,0.1279354522835731,0.04265655861693474,-0.014564474874989831,0.12230609835393876,0.905669120168607,-0.3266884151991755,0.1264674581916025,0.01264115180151559,-0.07539474636184695,0.12076969704775141,0.5351697220036353,0.25129366883732857,0.14708830886980268,0.0935155612846345,2.0,True,True,2.0,True,True,2.0,True,True,2.0,True,True,0.3952789193895171,0.7429879535019407,0.01971505342036497,0.5741370438967298,0.48578567357733093,0.41711753372042965,False,True,False,0.9068685138589497,False,True,False,0.06790740622570156,True,True,False,0.39652517131061504,False,True,False,0.9400912051720252,0.4782307326899984,0.9958155684457689,0.28519942267242027,0.9419796089962237,0.6445529151742213,True,0010,localized_support_no_detected_heterogeneity,True,True,True,True
BCL11A,ESR2,ESR2,ENSG00000140009,0.0584490166779278,0.0584490166779278,False,0.07245568244040519,0.07245568244040519,0.14322952394018384,0.01,1.0,False,0.05,1.0,False,0.07971794399092717,0.07971794399092717,0.15585128275483606,0.0,1.0,False,0.12839760624330082,0.12839760624330082,0.03223593964334705,0.75,1.0,True,0.51,1.0,False,0.17232688131454516,0.17232688131454516,0.020438957475994512,0.93,1.0,True,0.10904387007443538,0.10904387007443538,0.08902606310013718,0.17,1.0,False,0.12,1.0,False,0.13250229466020783,0.13250229466020783,0.1289437585733882,0.01,1.0,False,0.05844901667792784,0.05844901667792784,0.34458161865569276,0.01,0.99,False,0.01,0.97,False,0.07033006697779644,0.07033006697779644,0.4949245541838134,0.0,0.99,False,0100,0000,early_only_discovery,True,True,False,False,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 9,0.17232688131454516,24383,2,BCL11A_686;BCL11A_752,True,not_applicable,2.2883521240265794,0.08930534948550653,3.0,52.0,-0.12851593147260348,0.08196672632921138,0.12296942154677103,-0.36572263334302507,0.07874474479888942,2.3572835167699725e-05,-0.22930949392220504,0.1263928727710544,0.07540874096186913,-0.04440959705394512,0.11841444872885615,0.7091595606239612,0.2372067018704216,0.11366300655257215,0.041813936657950086,0.10079356244960155,0.15064429133706916,0.5064022354297076,-0.08410633441865836,0.1440157140484563,0.5617399079988485,-0.13641313942082003,0.14891572489419033,0.36387338758660376,-0.3213130362890799,0.14220659795241966,0.028071190165611496,-0.18489989686825992,0.17319682432157596,0.290645401539086,2.0,True,True,2.0,True,True,2.0,True,True,2.0,True,False,0.5440541327177986,0.002171952260968747,0.44807928957626175,0.9419015592129285,0.4830443194843592,0.5820622968921036,False,True,False,0.004499043969149547,True,True,False,0.585865977452831,False,True,False,0.8928696252714978,False,True,False,0.4767499263681139,0.9349953861997181,0.949152808522903,0.8996943475922936,0.3988406206126419,0.8528662220492289,True,0100,localized_support_no_detected_heterogeneity,True,True,True,True
BCL11A,KIF18A,KIF18A,ENSG00000121621,0.0515039820734488,0.0515039820734488,False,0.019277253655410147,0.019277253655410147,0.6622307586774592,0.0,0.78,False,0.0,0.72,False,0.0376439101903359,0.0376439101903359,0.4594594594594595,0.0,0.97,False,0.05252594698406192,0.05252594698406192,0.2573388203017833,0.0,0.98,False,0.01,0.9,False,0.12086236593261294,0.12086236593261294,0.06941015089163237,0.24,1.0,False,0.09908440021480525,0.09908440021480525,0.11152263374485596,0.12,1.0,False,0.06,1.0,False,0.22761794609760247,0.22761794609760247,0.025377229080932786,0.94,1.0,True,0.051503982073448876,0.051503982073448876,0.40987654320987654,0.0,0.93,False,0.0,0.92,False,0.20195949713959654,0.20195949713959654,0.050617283950617285,0.33,1.0,False,0000,0000,never_selected,False,False,False,False,True,True,True,2,BCL11A_686;BCL11A_752,False,False,day 11,0.22761794609760247,19418,2,BCL11A_686;BCL11A_752,True,not_applicable,3.6089992241805304,0.019191071718413152,3.0,52.0,-0.012985427074915238,0.08129922811730123,0.8737174113675188,0.021576047015492216,0.07810348487910843,0.7834514579415267,-0.4284769863347452,0.12536358905617218,0.0012338265040673117,-0.18143206614438193,0.11745013752197232,0.1284693977572355,-0.034561474090407454,0.11273738884119192,0.7603977864975869,0.41549155925982995,0.14941751555126925,0.007535226108870969,0.1684466390694667,0.1428429182577813,0.24366850865584752,0.4500530333502374,0.14770302573510788,0.0036265662692181373,0.20300811315987416,0.14104853474670104,0.1560644778380295,-0.24704492019036325,0.1717863913846933,0.15639887993465731,0.0,False,True,0.0,False,True,2.0,True,True,2.0,True,True,0.9762845914194839,0.9578505127521206,0.039720294203227195,0.5529903520856669,0.24901473652257275,0.9849594442794091,False,True,False,0.9930796156839258,False,False,False,0.11912490386489477,True,True,False,0.37489848105371093,False,True,False,0.9854533011065566,0.2150146655302042,0.826372544034298,0.1516696712407464,0.7378396157081734,0.7379007778435627,True,0010,localized_support_no_detected_heterogeneity,True,False,True,True
BCL11A,LAPTM5,LAPTM5,ENSG00000162511,0.0427276037641537,0.0427276037641537,False,-0.1787816689617344,0.1787816689617344,0.00589930031554397,1.0,1.0,True,0.92,1.0,True,-0.2254955400904867,0.2254955400904867,0.005487721223761833,1.0,1.0,True,-0.17846420022907106,0.17846420022907106,0.005349794238683128,1.0,1.0,True,0.95,1.0,True,-0.2707442874386905,0.2707442874386905,0.0017832647462277093,1.0,1.0,True,-0.12943782729208164,0.12943782729208164,0.05596707818930041,0.3,1.0,False,0.24,1.0,False,-0.28189573092654757,0.28189573092654757,0.0075445816186556925,1.0,1.0,True,0.04272760376415376,0.04272760376415376,0.5002743484224965,0.0,0.93,False,0.01,0.91,False,-0.020011945592669007,0.020011945592669007,0.8685871056241427,0.0,0.74,False,1100,1100,early_only_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 11,-0.28189573092654757,683,2,BCL11A_686;BCL11A_752,True,not_applicable,3.263559542249379,0.02857124398470651,3.0,52.0,-0.011563375438773395,0.09465741843357624,0.903242982691769,0.028825660837390535,0.09093658599876604,0.7525231148477046,0.23907643610022528,0.1459619479843458,0.10747278174183715,0.46047559780685926,0.13674824558552595,0.0014346187567598361,-0.04038903627616393,0.13126115014588327,0.7595398232547428,-0.25063981153899867,0.17396814973981303,0.1556576673997694,-0.47203897324563265,0.16631328730810555,0.006455049339099339,-0.21025077526283475,0.1719719539125373,0.2269980082024549,-0.43164993696946874,0.1642240705372702,0.011251033272847669,-0.22139916170663398,0.20001243193887772,0.27341992844059254,1.0,False,False,2.0,True,True,1.0,False,False,2.0,True,True,0.9868723119875219,0.9446801025180657,0.5240335387463908,0.0438091579207118,0.29728548184202175,0.997756962676744,False,False,False,0.9927742498208394,False,True,False,0.6465368318662738,False,True,False,0.0174240969002831,True,True,False,0.9854533011065566,0.7378396157081734,0.19668215260109886,0.8148750710930938,0.2595549064629799,0.8496408045237964,True,0001,localized_support_no_detected_heterogeneity,False,True,True,True
BCL11A,RAB11FIP1,RAB11FIP1,ENSG00000156675,0.0288985967097676,0.0288985967097676,False,0.1300658602803789,0.1300658602803789,0.02757579914940321,0.67,1.0,False,0.58,1.0,False,0.15818986975162802,0.15818986975162802,0.02359720126217588,0.73,1.0,True,0.061007942426765195,0.061007942426765195,0.20219478737997257,0.01,0.99,False,0.01,0.96,False,0.03560884948142497,0.03560884948142497,0.4725651577503429,0.0,0.97,False,0.010048009259249988,0.010048009259249988,0.8508916323731138,0.0,0.67,False,0.0,0.56,False,-0.08226167767139901,0.08226167767139901,0.2975308641975309,0.0,1.0,False,0.02889859670976763,0.02889859670976763,0.6502057613168725,0.0,0.84,False,0.0,0.82,False,0.050005310898190616,0.050005310898190616,0.6493827160493827,0.0,0.97,False,0000,0000,never_selected,False,False,False,False,True,True,True,2,BCL11A_686;BCL11A_752,False,False,day 7,0.15818986975162802,15172,2,BCL11A_686;BCL11A_752,True,not_applicable,5.158342250494519,0.0033856109550098497,3.0,52.0,-0.04940569669915324,0.12934693503541994,0.7040456264953422,-0.1633414457404514,0.12426251292474506,0.19445092212988643,0.01135982569161554,0.19945325908949185,0.9547994717594311,0.6953560811772705,0.18686297102398605,0.0004877714375769869,0.11393574904129815,0.17936499580862925,0.5280721468740586,-0.06076552239076878,0.23772301563895132,0.7992567041822366,-0.7447617778764238,0.2272628424159308,0.0018722027701488285,-0.17470127143206693,0.23499526522845607,0.46057048800093847,-0.8586975269177219,0.22440798127135203,0.000350353383986201,-0.683996255485655,0.2733118594231341,0.015509230511001936,1.0,False,True,2.0,True,True,1.0,False,False,2.0,True,True,0.9419015592129285,0.6593564263084474,0.9909590944032628,0.020687702876281095,0.08077100421237784,0.9524932568200137,False,True,False,0.8298544091083925,False,True,False,0.9857898719247296,False,False,False,0.007666619301210053,True,False,False,0.9394369469897553,0.9876376309629992,0.10310846703870032,0.9214616021214491,0.033836538867872135,0.3148884791200761,True,0001,localized_support_no_detected_heterogeneity,True,True,True,False
BCL11A,SH3BGRL3,SH3BGRL3,ENSG00000142669,-0.0229084141854016,0.0229084141854016,False,-0.21462195009192453,0.21462195009192453,0.002195088489504733,1.0,1.0,True,1.0,1.0,True,-0.275009915335171,0.275009915335171,0.001509123336534504,1.0,1.0,True,-0.1085432430467834,0.1085432430467834,0.0561042524005487,0.39,1.0,False,0.21,1.0,False,-0.1710977989537348,0.1710977989537348,0.02167352537722908,0.95,1.0,True,-0.06823240310353054,0.06823240310353054,0.24458161865569272,0.01,0.98,False,0.0,0.96,False,-0.15091445154179498,0.15091445154179498,0.09876543209876543,0.07,1.0,False,-0.02290841418540171,0.02290841418540171,0.7231824417009602,0.0,0.83,False,0.0,0.74,False,-0.12000585263827192,0.12000585263827192,0.22565157750342935,0.0,1.0,False,1000,1000,early_only_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 7,-0.275009915335171,593,2,BCL11A_686;BCL11A_752,True,not_applicable,2.458875005523465,0.0730790835986336,3.0,52.0,0.10875604303619368,0.07765184745888558,0.16728492835239378,0.03373644618254232,0.07459947694816112,0.6529811268817951,0.4067021538798523,0.11973932003687328,0.0013149867422435505,0.059037701619716505,0.1121808948754393,0.6009365785915065,0.07501959685365137,0.10767957733348166,0.4890978542034721,-0.29794611084365863,0.142714099431944,0.041740163706108474,0.04971834141647718,0.13643446261422515,0.7170281968889202,-0.37296570769730997,0.14107652789827227,0.0108137007618782,-0.025301255437174187,0.13472058170893408,0.8517601300332877,0.3476644522601358,0.16407942569971143,0.038896285634291705,2.0,True,True,2.0,True,True,2.0,True,True,2.0,True,False,0.6182369689593308,0.9364718923161826,0.04109525819034815,0.9175641119022007,0.42265651812889393,0.6496879775546456,False,True,False,0.9927742498208394,False,True,False,0.11912490386489477,True,True,False,0.8462717019663785,False,True,False,0.9324663468146843,0.4767499263681139,0.9821873492975115,0.25674860383925857,0.9911880584125248,0.46207447405544155,True,0010,localized_support_no_detected_heterogeneity,True,True,True,True
BCL11A,MLXIP,MLXIP,ENSG00000175727,-0.0063933321255247,0.0063933321255247,False,0.05376258287633689,0.05376258287633689,0.25312114144601455,0.02,0.99,False,0.02,0.94,False,0.064912636869406,0.064912636869406,0.23062148442859104,0.0,0.99,False,0.11244214630557596,0.11244214630557596,0.04993141289437586,0.31,1.0,False,0.3,1.0,False,0.14173456779133922,0.14173456779133922,0.043209876543209874,0.49,1.0,False,0.1906332098229971,0.1906332098229971,0.01083676268861454,0.91,1.0,True,0.93,1.0,True,0.236822716759639,0.236822716759639,0.02167352537722908,0.89,1.0,True,-0.00639333212552474,0.00639333212552474,0.9179698216735254,0.0,0.5800000000000001,False,0.0,0.65,False,-0.006376033500379225,0.006376033500379225,0.9585733882030179,0.0,0.69,False,0010,0010,day11_only_preterminal_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 11,0.236822716759639,22697,2,BCL11A_686;BCL11A_752,True,not_applicable,11.237196669880817,8.560078875293738e-06,3.0,52.0,-0.010169950861170314,0.04442720994939649,0.8198347221210567,-0.04685754138965213,0.04268084704933666,0.2773238730816732,-0.230268071068537,0.068506855722818,0.0014607689281782824,0.2955211764688504,0.06418242877712783,2.7023092214231628e-05,0.03668759052848182,0.06160707498929505,0.5540861332160385,0.2200981202073667,0.08165149272924993,0.00944358176429669,-0.30569112733002074,0.07805870321507295,0.00026343968132817923,0.18341052967888488,0.08071458347706363,0.02722938229858562,-0.34237871785850255,0.07707813482810774,4.6846441541850756e-05,-0.5257892475373874,0.09387530796092276,8.15456924695461e-07,1.0,False,False,2.0,True,True,2.0,True,True,2.0,True,True,0.9691940040302071,0.7518803727814888,0.04421457712524295,0.002292244520521489,0.0010396604888538578,0.9849594442794091,False,True,True,0.9068685138589497,False,True,True,0.11912490386489477,False,True,False,0.0007220570239642691,True,False,False,0.9474705950534867,0.24384751894866033,0.02778595375693006,0.398304249097559,0.009628745523063479,0.00046749468558588504,True,0001,late_onset_support_detected,True,True,True,True
