TF,target,target_symbol,target_gene_id,signed_association_day14_frozen,absolute_association_day14_frozen,frozen_day14_E0,signed_association_day7,absolute_association_day7,rank_fraction_day7,bootstrap_top5_frequency_day7,bootstrap_sign_consistency_day7,E0_timepoint_day7,power_matched_bootstrap_top5_frequency_day7,power_matched_bootstrap_sign_consistency_day7,E0_timepoint_power_matched_day7,state_unadjusted_signed_association_day7,state_unadjusted_absolute_association_day7,state_unadjusted_rank_fraction_day7,state_unadjusted_bootstrap_top5_frequency_day7,state_unadjusted_bootstrap_sign_consistency_day7,state_unadjusted_E0_timepoint_day7,signed_association_day9,absolute_association_day9,rank_fraction_day9,bootstrap_top5_frequency_day9,bootstrap_sign_consistency_day9,E0_timepoint_day9,power_matched_bootstrap_top5_frequency_day9,power_matched_bootstrap_sign_consistency_day9,E0_timepoint_power_matched_day9,state_unadjusted_signed_association_day9,state_unadjusted_absolute_association_day9,state_unadjusted_rank_fraction_day9,state_unadjusted_bootstrap_top5_frequency_day9,state_unadjusted_bootstrap_sign_consistency_day9,state_unadjusted_E0_timepoint_day9,signed_association_day11,absolute_association_day11,rank_fraction_day11,bootstrap_top5_frequency_day11,bootstrap_sign_consistency_day11,E0_timepoint_day11,power_matched_bootstrap_top5_frequency_day11,power_matched_bootstrap_sign_consistency_day11,E0_timepoint_power_matched_day11,state_unadjusted_signed_association_day11,state_unadjusted_absolute_association_day11,state_unadjusted_rank_fraction_day11,state_unadjusted_bootstrap_top5_frequency_day11,state_unadjusted_bootstrap_sign_consistency_day11,state_unadjusted_E0_timepoint_day11,signed_association_day14,absolute_association_day14,rank_fraction_day14,bootstrap_top5_frequency_day14,bootstrap_sign_consistency_day14,E0_timepoint_day14,power_matched_bootstrap_top5_frequency_day14,power_matched_bootstrap_sign_consistency_day14,E0_timepoint_power_matched_day14,state_unadjusted_signed_association_day14,state_unadjusted_absolute_association_day14,state_unadjusted_rank_fraction_day14,state_unadjusted_bootstrap_top5_frequency_day14,state_unadjusted_bootstrap_sign_consistency_day14,state_unadjusted_E0_timepoint_day14,discovery_pattern,power_matched_discovery_pattern,discovery_class,any_preterminal_E0,preterminal_E0_omitted_by_day14,power_matched_preterminal_E0,power_robust_preterminal_omission,state_unadjusted_preterminal_E0,state_unadjusted_preterminal_omission,state_unadjusted_only_preterminal_omission,effective_guides_used,effective_guide_names,E1_supported,E1_direction_concordant,discovery_anchor_timepoint,signed_association,feature_index,effective_guides_used_time_resolved,effective_guide_names_time_resolved,strict_time_resolved_testable,strict_time_resolved_unresolved_reason,interaction_f_stat,interaction_p_value,model_df_numerator,model_df_denominator,effect_day 7,effect_se_day 7,effect_p_value_day 7,effect_day 9,effect_se_day 9,effect_p_value_day 9,effect_day 11,effect_se_day 11,effect_p_value_day 11,effect_day 14,effect_se_day 14,effect_p_value_day 14,effect_difference_day 7_vs_day 9,effect_difference_se_day 7_vs_day 9,effect_difference_p_value_day 7_vs_day 9,effect_difference_day 7_vs_day 11,effect_difference_se_day 7_vs_day 11,effect_difference_p_value_day 7_vs_day 11,effect_difference_day 7_vs_day 14,effect_difference_se_day 7_vs_day 14,effect_difference_p_value_day 7_vs_day 14,effect_difference_day 9_vs_day 11,effect_difference_se_day 9_vs_day 11,effect_difference_p_value_day 9_vs_day 11,effect_difference_day 9_vs_day 14,effect_difference_se_day 9_vs_day 14,effect_difference_p_value_day 9_vs_day 14,effect_difference_day 11_vs_day 14,effect_difference_se_day 11_vs_day 14,effect_difference_p_value_day 11_vs_day 14,consistent_effective_guides_day 7,effective_guide_direction_consistent_day 7,leave_one_effective_guide_out_direction_consistent_day 7,consistent_effective_guides_day 9,effective_guide_direction_consistent_day 9,leave_one_effective_guide_out_direction_consistent_day 9,consistent_effective_guides_day 11,effective_guide_direction_consistent_day 11,leave_one_effective_guide_out_direction_consistent_day 11,consistent_effective_guides_day 14,effective_guide_direction_consistent_day 14,leave_one_effective_guide_out_direction_consistent_day 14,effect_fdr_edge_time_day 7,effect_fdr_edge_time_day 9,effect_fdr_edge_time_day 11,effect_fdr_edge_time_day 14,interaction_fdr,effect_fdr_within_timepoint_day 7,strict_total_support_day 7,strict_direction_concordant_day 7,negligible_effect_supported_day 7,effect_fdr_within_timepoint_day 9,strict_total_support_day 9,strict_direction_concordant_day 9,negligible_effect_supported_day 9,effect_fdr_within_timepoint_day 11,strict_total_support_day 11,strict_direction_concordant_day 11,negligible_effect_supported_day 11,effect_fdr_within_timepoint_day 14,strict_total_support_day 14,strict_direction_concordant_day 14,negligible_effect_supported_day 14,effect_difference_fdr_edge_pair_day 7_vs_day 9,effect_difference_fdr_edge_pair_day 7_vs_day 11,effect_difference_fdr_edge_pair_day 7_vs_day 14,effect_difference_fdr_edge_pair_day 9_vs_day 11,effect_difference_fdr_edge_pair_day 9_vs_day 14,effect_difference_fdr_edge_pair_day 11_vs_day 14,strict_any_timepoint_support,strict_support_pattern,strict_temporal_support_class,observational_direction_concordant_day7,observational_direction_concordant_day9,observational_direction_concordant_day11,observational_direction_concordant_day14
BCL11A,SSX2IP,SSX2IP,ENSG00000117155,0.1897966581943535,0.1897966581943535,True,0.0719498765019199,0.0719498765019199,0.14515022636850047,0.04,0.98,False,0.03,1.0,False,0.09133701963847432,0.09133701963847432,0.11606530388256277,0.05,1.0,False,0.07455872145316589,0.07455872145316589,0.13854595336076816,0.02,1.0,False,0.05,0.98,False,0.09060485492644446,0.09060485492644446,0.1279835390946502,0.0,1.0,False,0.029271549131181848,0.029271549131181848,0.5890260631001372,0.0,0.86,False,0.0,0.75,False,0.0846830414527335,0.0846830414527335,0.28669410150891633,0.0,1.0,False,0.1897966581943535,0.1897966581943535,0.0043895747599451305,0.98,1.0,True,0.92,1.0,True,0.277883470068358,0.277883470068358,0.009739368998628258,0.99,1.0,True,0001,0001,day14_only_discovery,False,False,False,False,False,False,False,2,BCL11A_686;BCL11A_752,False,False,day 14,0.1897966581943535,1391,2,BCL11A_686;BCL11A_752,True,not_applicable,3.814432369311472,0.015173749039271048,3.0,52.0,0.01590267150595968,0.049177236307187816,0.7477084420723186,-0.09399159620950007,0.047244157432503396,0.05191909245382629,-0.10375760982369499,0.07583140684235583,0.17711181847265933,-0.2748923959897807,0.07104462491201168,0.0003058988298034851,0.10989426771545975,0.06819392188692595,0.11312547152629476,0.11966028132965467,0.0903814296993795,0.19131107975346748,0.2907950674957404,0.08640450971854086,0.0014423779792048317,0.009766013614194921,0.0893443488710845,0.9133792814356531,0.18090079978028067,0.08531910184944282,0.03877209318688365,0.17113478616608574,0.10391217923121102,0.1056059533097449,1.0,False,False,2.0,True,True,2.0,True,True,2.0,True,True,0.9536651452960184,0.3800362405122959,0.6536869746523509,0.015333662861035458,0.22241035504727127,0.9514541872128476,False,False,True,0.5354156409300835,False,True,False,0.775669764780479,False,True,False,0.006583474815335876,True,True,False,0.6815063903308224,0.7784560817051047,0.0951969466275189,0.9950430336277414,0.46613588793977523,0.6654954534200183,True,0001,localized_support_no_detected_heterogeneity,False,True,True,True
BCL11A,CABIN1,CABIN1,ENSG00000099991,0.0772435469607646,0.0772435469607646,False,0.1597191818798652,0.1597191818798652,0.010975442447523666,0.98,1.0,True,0.86,1.0,True,0.19345038592936076,0.19345038592936076,0.012072986692276032,0.98,1.0,True,0.049720914865335815,0.049720914865335815,0.28161865569272976,0.0,1.0,False,0.02,0.98,False,0.024462635232431723,0.024462635232431723,0.6094650205761317,0.0,0.88,False,0.027531933723553347,0.027531933723553347,0.6112482853223594,0.0,0.8,False,0.0,0.78,False,-0.03269190303218311,0.03269190303218311,0.6563786008230452,0.0,0.83,False,0.07724354696076469,0.07724354696076469,0.21083676268861454,0.01,1.0,False,0.03,0.99,False,0.11807925345865754,0.11807925345865754,0.23319615912208505,0.0,1.0,False,1000,1000,early_only_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 7,0.1597191818798652,34703,2,BCL11A_686;BCL11A_752,True,not_applicable,2.961940578251518,0.0405556431719843,3.0,52.0,-0.03706454585954288,0.10414938949600791,0.7233711819431357,-0.007905071427485252,0.10005544278886883,0.9373303857615497,-0.01608297089240778,0.16059858829643917,0.9206151796314705,-0.509312881322947,0.15046096257502387,0.00136105051747749,-0.029159474432057627,0.14442363713765058,0.8407808541565698,-0.020981574967135097,0.19141317064193966,0.9131373906448218,0.47224833546340417,0.18299070083311308,0.012721001903709462,0.00817789946492253,0.18921680209348687,0.9656919118479643,0.5014078098954617,0.18069198347098672,0.0076531788850636925,0.49322991043053926,0.2200690978347753,0.029304660657873856,2.0,True,False,1.0,False,False,1.0,False,False,2.0,True,True,0.9512446877626971,0.9870175863696992,0.9870175863696992,0.043906582526354265,0.36301197389111844,0.9496082260186736,False,True,False,0.9903490735367494,False,True,False,0.97618700363013,False,True,False,0.020729846343118693,True,True,False,0.988538762141006,0.9950430336277414,0.31299869297126093,0.9985290805278076,0.2382794487777663,0.4141378480055187,True,0001,localized_support_no_detected_heterogeneity,True,True,True,True
BCL11A,ID2,ID2,ENSG00000115738,-0.0750879206876799,0.0750879206876799,False,-0.1894282576664074,0.1894282576664074,0.00425298394841542,1.0,1.0,True,1.0,1.0,True,-0.22068999439043716,0.22068999439043716,0.006036493346138016,1.0,1.0,True,-0.1683321662012595,0.1683321662012595,0.008779149519890261,0.99,1.0,True,0.95,1.0,True,-0.2145291693249743,0.2145291693249743,0.00905349794238683,1.0,1.0,True,-0.11819634750776771,0.11819634750776771,0.07160493827160494,0.14,1.0,False,0.22,1.0,False,-0.21093269550584623,0.21093269550584623,0.03621399176954732,0.68,1.0,False,-0.07508792068767996,0.07508792068767996,0.22194787379972566,0.0,0.97,False,0.02,1.0,False,-0.13170400100783775,0.13170400100783775,0.18655692729766804,0.0,1.0,False,1100,1100,early_only_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 7,-0.1894282576664074,3513,2,BCL11A_686;BCL11A_752,True,not_applicable,2.882877516888211,0.0444727362194747,3.0,52.0,0.31442011494361216,0.09679469813081654,0.002036458732836436,0.09416351520467064,0.09298985263341333,0.31592976145332713,0.5424134104657106,0.14925763799109895,0.0006392957636968207,0.06593427368511703,0.13983589844739086,0.6392477132442731,0.22025659973894152,0.1342249093090393,0.10684307453611755,-0.2279932955220984,0.17789619468925646,0.20566532452912306,0.24848584125849513,0.1700684923224314,0.1500066299443924,-0.4482498952610399,0.17585492654874893,0.013794209849063663,0.02822924151955361,0.16793210290880342,0.8671573931451485,0.4764791367805935,0.2045285334452652,0.02374275691155622,2.0,True,True,2.0,True,True,2.0,True,True,2.0,True,True,0.05760268987165919,0.7819261595969845,0.026370950252493853,0.9413691281157486,0.3644629828086824,0.06952048777614041,False,True,False,0.9137082399196017,False,True,False,0.057536618732713866,True,True,False,0.8817944717189983,False,True,False,0.6654954534200183,0.7939317836478913,0.7310483261693608,0.31993461440675075,0.9915207266922292,0.3842833135003922,True,0010,localized_support_no_detected_heterogeneity,True,True,True,True
BCL11A,ESR2,ESR2,ENSG00000140009,0.0584490166779278,0.0584490166779278,False,0.07245568244040519,0.07245568244040519,0.14322952394018384,0.01,1.0,False,0.05,1.0,False,0.07971794399092717,0.07971794399092717,0.15585128275483606,0.0,1.0,False,0.12839760624330082,0.12839760624330082,0.03223593964334705,0.75,1.0,True,0.51,1.0,False,0.17232688131454516,0.17232688131454516,0.020438957475994512,0.93,1.0,True,0.10904387007443538,0.10904387007443538,0.08902606310013718,0.17,1.0,False,0.12,1.0,False,0.13250229466020783,0.13250229466020783,0.1289437585733882,0.01,1.0,False,0.05844901667792784,0.05844901667792784,0.34458161865569276,0.01,0.99,False,0.01,0.97,False,0.07033006697779644,0.07033006697779644,0.4949245541838134,0.0,0.99,False,0100,0000,early_only_discovery,True,True,False,False,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 9,0.12839760624330082,24383,2,BCL11A_686;BCL11A_752,True,not_applicable,2.2883521240265794,0.08930534948550653,3.0,52.0,-0.12851593147260348,0.08196672632921138,0.12296942154677103,-0.36572263334302507,0.07874474479888942,2.3572835167699725e-05,-0.22930949392220504,0.1263928727710544,0.07540874096186913,-0.04440959705394512,0.11841444872885615,0.7091595606239612,0.2372067018704216,0.11366300655257215,0.041813936657950086,0.10079356244960155,0.15064429133706916,0.5064022354297076,-0.08410633441865836,0.1440157140484563,0.5617399079988485,-0.13641313942082003,0.14891572489419033,0.36387338758660376,-0.3213130362890799,0.14220659795241966,0.028071190165611496,-0.18489989686825992,0.17319682432157596,0.290645401539086,2.0,True,True,2.0,True,True,2.0,True,True,2.0,True,False,0.5564324774813181,0.0026394769876588444,0.44869567960076384,0.9512446877626971,0.48050160864484487,0.5340135273026357,False,True,False,0.0038895178026704547,True,True,False,0.6427015954932039,False,True,False,0.9065057128033692,False,True,False,0.4836166663400749,0.9380324774220132,0.9477221257013027,0.9002115461326224,0.40968764025487053,0.8488573529272175,True,0100,localized_support_no_detected_heterogeneity,True,True,True,True
BCL11A,LAPTM5,LAPTM5,ENSG00000162511,0.0427276037641537,0.0427276037641537,False,-0.1787816689617344,0.1787816689617344,0.00589930031554397,1.0,1.0,True,0.92,1.0,True,-0.2254955400904867,0.2254955400904867,0.005487721223761833,1.0,1.0,True,-0.17846420022907106,0.17846420022907106,0.005349794238683128,1.0,1.0,True,0.95,1.0,True,-0.2707442874386905,0.2707442874386905,0.0017832647462277093,1.0,1.0,True,-0.12943782729208164,0.12943782729208164,0.05596707818930041,0.3,1.0,False,0.24,1.0,False,-0.28189573092654757,0.28189573092654757,0.0075445816186556925,1.0,1.0,True,0.04272760376415376,0.04272760376415376,0.5002743484224965,0.0,0.93,False,0.01,0.91,False,-0.020011945592669007,0.020011945592669007,0.8685871056241427,0.0,0.74,False,1100,1100,early_only_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 7,-0.1787816689617344,683,2,BCL11A_686;BCL11A_752,True,not_applicable,3.263559542249379,0.02857124398470651,3.0,52.0,-0.011563375438773395,0.09465741843357624,0.903242982691769,0.028825660837390535,0.09093658599876604,0.7525231148477046,0.23907643610022528,0.1459619479843458,0.10747278174183715,0.46047559780685926,0.13674824558552595,0.0014346187567598361,-0.04038903627616393,0.13126115014588327,0.7595398232547428,-0.25063981153899867,0.17396814973981303,0.1556576673997694,-0.47203897324563265,0.16631328730810555,0.006455049339099339,-0.21025077526283475,0.1719719539125373,0.2269980082024549,-0.43164993696946874,0.1642240705372702,0.011251033272847669,-0.22139916170663398,0.20001243193887772,0.27341992844059254,1.0,False,False,2.0,True,True,1.0,False,False,2.0,True,True,0.9870175863696992,0.9536651452960184,0.532730158437692,0.04544872221415161,0.3088903352483452,0.9974405474986257,False,False,False,0.9888208610891526,False,True,False,0.7374948361668623,False,True,False,0.02119809804764534,True,True,False,0.9816506854075656,0.7367382823542871,0.21943643658993114,0.8166978611281539,0.2861195134836387,0.845143431755641,True,0001,localized_support_no_detected_heterogeneity,False,True,True,False
BCL11A,SH3BGRL3,SH3BGRL3,ENSG00000142669,-0.0229084141854016,0.0229084141854016,False,-0.21462195009192453,0.21462195009192453,0.002195088489504733,1.0,1.0,True,1.0,1.0,True,-0.275009915335171,0.275009915335171,0.001509123336534504,1.0,1.0,True,-0.1085432430467834,0.1085432430467834,0.0561042524005487,0.39,1.0,False,0.21,1.0,False,-0.1710977989537348,0.1710977989537348,0.02167352537722908,0.95,1.0,True,-0.06823240310353054,0.06823240310353054,0.24458161865569272,0.01,0.98,False,0.0,0.96,False,-0.15091445154179498,0.15091445154179498,0.09876543209876543,0.07,1.0,False,-0.02290841418540171,0.02290841418540171,0.7231824417009602,0.0,0.83,False,0.0,0.74,False,-0.12000585263827192,0.12000585263827192,0.22565157750342935,0.0,1.0,False,1000,1000,early_only_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 7,-0.21462195009192453,593,2,BCL11A_686;BCL11A_752,True,not_applicable,2.458875005523465,0.0730790835986336,3.0,52.0,0.10875604303619368,0.07765184745888558,0.16728492835239378,0.03373644618254232,0.07459947694816112,0.6529811268817951,0.4067021538798523,0.11973932003687328,0.0013149867422435505,0.059037701619716505,0.1121808948754393,0.6009365785915065,0.07501959685365137,0.10767957733348166,0.4890978542034721,-0.29794611084365863,0.142714099431944,0.041740163706108474,0.04971834141647718,0.13643446261422515,0.7170281968889202,-0.37296570769730997,0.14107652789827227,0.0108137007618782,-0.025301255437174187,0.13472058170893408,0.8517601300332877,0.3476644522601358,0.16407942569971143,0.038896285634291705,2.0,True,True,2.0,True,True,2.0,True,True,2.0,True,False,0.6381968364889011,0.9442636127709908,0.04303592974615256,0.9292308533288144,0.4206296090851585,0.6156582865013749,False,True,False,0.9888208610891526,False,True,False,0.09641074925976663,True,True,False,0.8621525426347509,False,True,False,0.934838355121744,0.4836166663400749,0.9802248253613225,0.28296644284386124,0.9895866001262784,0.46613588793977523,True,0010,localized_support_no_detected_heterogeneity,True,True,True,True
BCL11A,MLXIP,MLXIP,ENSG00000175727,-0.0063933321255247,0.0063933321255247,False,0.05376258287633689,0.05376258287633689,0.25312114144601455,0.02,0.99,False,0.02,0.94,False,0.064912636869406,0.064912636869406,0.23062148442859104,0.0,0.99,False,0.11244214630557596,0.11244214630557596,0.04993141289437586,0.31,1.0,False,0.3,1.0,False,0.14173456779133922,0.14173456779133922,0.043209876543209874,0.49,1.0,False,0.1906332098229971,0.1906332098229971,0.01083676268861454,0.91,1.0,True,0.93,1.0,True,0.236822716759639,0.236822716759639,0.02167352537722908,0.89,1.0,True,-0.00639333212552474,0.00639333212552474,0.9179698216735254,0.0,0.5800000000000001,False,0.0,0.65,False,-0.006376033500379225,0.006376033500379225,0.9585733882030179,0.0,0.69,False,0010,0010,day11_only_preterminal_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 11,0.1906332098229971,22697,2,BCL11A_686;BCL11A_752,True,not_applicable,11.237196669880817,8.560078875293738e-06,3.0,52.0,-0.010169950861170314,0.04442720994939649,0.8198347221210567,-0.04685754138965213,0.04268084704933666,0.2773238730816732,-0.230268071068537,0.068506855722818,0.0014607689281782824,0.2955211764688504,0.06418242877712783,2.7023092214231628e-05,0.03668759052848182,0.06160707498929505,0.5540861332160385,0.2200981202073667,0.08165149272924993,0.00944358176429669,-0.30569112733002074,0.07805870321507295,0.00026343968132817923,0.18341052967888488,0.08071458347706363,0.02722938229858562,-0.34237871785850255,0.07707813482810774,4.6846441541850756e-05,-0.5257892475373874,0.09387530796092276,8.15456924695461e-07,1.0,False,False,2.0,True,True,2.0,True,True,2.0,True,True,0.9723150463918616,0.7658316160414408,0.045682286179306114,0.0027438832094450576,0.0012106397266486858,0.9787580979040968,False,True,True,0.9137082399196017,False,True,True,0.09641074925976663,False,True,False,0.0009908467145218263,True,False,False,0.9466294138238339,0.2651437502088071,0.030682974648811465,0.4084407344787843,0.01070261010609975,0.0006062384302227139,True,0001,late_onset_support_detected,True,True,True,True
BCL11A,SLC7A5,SLC7A5,ENSG00000103257,0.0040091834030164,0.0040091834030164,False,0.04410398904503165,0.04410398904503165,0.33845520647551103,0.0,0.96,False,0.0,0.87,False,0.024141946312905057,0.024141946312905057,0.6304019755796405,0.0,0.75,False,0.09208335165452511,0.09208335165452511,0.08532235939643347,0.14,1.0,False,0.23,1.0,False,0.15582408391904554,0.15582408391904554,0.031001371742112482,0.72,1.0,True,0.18643493150976967,0.18643493150976967,0.012208504801097394,0.93,1.0,True,0.87,1.0,True,0.25176829397907996,0.25176829397907996,0.015363511659807956,0.95,1.0,True,0.004009183403016465,0.004009183403016465,0.948559670781893,0.0,0.58,False,0.0,0.65,False,-0.02534138372744631,0.02534138372744631,0.8308641975308642,0.0,0.86,False,0010,0010,day11_only_preterminal_discovery,True,True,True,True,True,True,False,2,BCL11A_686;BCL11A_752,False,False,day 11,0.18643493150976967,27994,2,BCL11A_686;BCL11A_752,True,not_applicable,3.966184738729097,0.012768315566546794,3.0,52.0,0.0036750128915584656,0.07727320617038846,0.9622501410355906,-0.3240684011759322,0.07423571944596107,6.056560423483534e-05,-0.16265083259545404,0.11915545433494604,0.1781206075280669,0.02821373557138322,0.11163388511365757,0.8014697940375124,0.3277434140674907,0.10715451662674237,0.0035099519619404256,0.1663258454870125,0.14201820548654587,0.24687379812185567,-0.024538722679824754,0.13576918905782956,0.8572754065370051,-0.16141756858047818,0.14038861898112276,0.25549067250679414,-0.35228213674731546,0.1340636652759753,0.011271374773597888,-0.19086456816683728,0.16327935142980177,0.24775666462008297,2.0,True,False,2.0,True,True,2.0,True,True,1.0,False,False,0.9921092064076368,0.004996662349373915,0.6538821975697883,0.9707940257676523,0.20798251233402634,0.9978985780075468,False,False,False,0.006662216465831887,True,True,False,0.775669764780479,False,True,False,0.9455228461117897,False,False,False,0.16416625711752858,0.8268678176524861,0.9895866001262784,0.8314108773656638,0.2861195134836387,0.8273121582837286,True,0100,localized_support_no_detected_heterogeneity,False,True,True,False
KLF1,SLC14A1,SLC14A1,ENSG00000141469,0.0974915790008932,0.0974915790008932,False,-0.1383323552559636,0.1383323552559636,0.002195088489504733,0.94,1.0,True,0.81,1.0,True,-0.21582759629578122,0.21582759629578122,0.002195088489504733,1.0,1.0,True,-0.03759656705764432,0.03759656705764432,0.20795610425240055,0.01,0.98,False,0.02,0.81,False,-0.07666330455177214,0.07666330455177214,0.08724279835390947,0.19,1.0,False,-0.008261409852687555,0.008261409852687555,0.827434842249657,0.0,0.53,False,0.0,0.62,False,-0.0062707556588119,0.0062707556588119,0.9157750342935528,0.0,0.6,False,0.09749157900089322,0.09749157900089322,0.01316872427983539,0.61,1.0,False,0.55,1.0,False,0.0922991762707041,0.0922991762707041,0.02112482853223594,0.45,1.0,False,1000,1000,early_only_discovery,True,True,True,True,True,True,False,3,KLF1_347;KLF1_395;KLF1_636,False,False,day 7,-0.1383323552559636,30499,3,KLF1_347;KLF1_395;KLF1_636,True,not_applicable,1.2712687730605996,0.29148226307855996,3.0,66.0,0.45024832812751964,0.10786407441178482,8.940404876990611e-05,0.3571398887871443,0.09894976536023914,0.000592117994487987,0.20389703445619775,0.1499248193080108,0.17845905341646176,0.14045829370265345,0.14117242947463415,0.3233985943563565,0.09310843934037531,0.14637525273610086,0.5269148342490014,0.24635129367132189,0.18469463986063794,0.18684421793516803,0.3097900344248662,0.1776634835650861,0.08586946535744645,0.1532428543309466,0.1796343717371095,0.39669921465267005,0.21668159508449086,0.1723969573647311,0.21322854596951368,0.0634387407535443,0.20592985769021024,0.7590068672950061,3.0,True,True,3.0,True,True,3.0,True,True,3.0,True,True,0.005998906024090484,0.024944545299706685,0.6538821975697883,0.7822296019330635,0.7475538292413032,0.011063751035275881,True,True,False,0.045092062657162084,True,True,False,0.775669764780479,False,True,False,0.6416124417090039,False,True,False,0.941648412184008,0.7764484301967082,0.6235508853584742,0.9167242212898193,0.8029283109125497,0.9816150484147943,True,1100,localized_support_no_detected_heterogeneity,True,True,True,False
KLF1,SLC66A2,SLC66A2,ENSG00000122490,0.0957392470812049,0.0957392470812049,False,0.0858563160932532,0.0858563160932532,0.028398957332967486,0.49,1.0,False,0.3,0.98,False,0.14509748359840868,0.14509748359840868,0.013170530937028399,0.91,1.0,True,0.08818617338339772,0.08818617338339772,0.012071330589849109,0.71,1.0,True,0.49,1.0,False,0.11392300074726232,0.11392300074726232,0.02633744855967078,0.72,1.0,True,0.055277819287382665,0.055277819287382665,0.14650205761316873,0.07,0.94,False,0.09,0.94,False,0.05035778444687908,0.05035778444687908,0.4031550068587106,0.0,0.96,False,0.09573924708120496,0.09573924708120496,0.014266117969821674,0.62,1.0,False,0.62,1.0,False,0.10027282164746805,0.10027282164746805,0.01440329218106996,0.61,1.0,False,0100,0000,early_only_discovery,True,True,False,False,True,True,False,3,KLF1_347;KLF1_395;KLF1_636,False,False,day 9,0.08818617338339772,30841,3,KLF1_347;KLF1_395;KLF1_636,True,not_applicable,3.496727260262776,0.020271749419587405,3.0,66.0,-0.02072029465450916,0.055669007069380876,0.7109325368657664,-0.006540009659468217,0.05106830255941918,0.8984877678743737,0.011627633749456478,0.07737669721311244,0.8810074904958339,0.2504312679308933,0.07285955974945486,0.0010220056786687346,-0.014180284995040942,0.07554475411563101,0.8516821792346375,-0.03234792840396564,0.09532151708664977,0.7354190372317102,-0.27115156258540246,0.09169271396885996,0.004304226139506933,-0.018167643408924697,0.09270989590065375,0.8452417898056369,-0.25697127759036154,0.08897464230433723,0.0052357772538288525,-0.23880363418143682,0.10628108354027102,0.02799586593339156,3.0,True,True,2.0,False,False,1.0,False,False,3.0,True,True,0.9512446877626971,0.9862188412860915,0.9816454145127218,0.03712974759200174,0.25729528109476324,0.9496082260186736,False,True,True,0.9888208610891526,False,True,True,0.9698478747423193,False,False,False,0.01631912293358141,True,False,False,0.9895866001262784,0.9802248253613225,0.1794108231004802,0.988538762141006,0.2035760107853715,0.40968764025487053,True,0001,localized_support_no_detected_heterogeneity,True,True,False,False
