target,guide,cells_total,cells_rep13,cells_rep14,cells_rep16,minimum_cells_across_replicates
ATF4,ATF4_406,491,159,177,155,155
ATF4,ATF4_343,326,86,81,159,81
ATF4,ATF4_566,229,69,67,93,67
BCL11A,BCL11A_476,287,64,107,116,64
BCL11A,BCL11A_752,248,75,80,93,75
BCL11A,BCL11A_686,220,64,79,77,64
FOSL1,FOSL1_346,361,115,126,120,115
FOSL1,FOSL1_397,345,95,120,130,95
FOSL1,FOSL1_106,266,70,94,102,70
GATA1,GATA1_187,353,111,119,123,111
GATA1,GATA1_261,188,61,57,70,57
GATA1,GATA1_674,61,19,21,21,19
GATA2,GATA2_752,934,258,343,333,258
GATA2,GATA2_176,364,94,123,147,94
GATA2,GATA2_562,312,83,114,115,83
GFI1B,GFI1B_526,384,95,138,151,95
GFI1B,GFI1B_413,373,99,138,136,99
GFI1B,GFI1B_140,223,76,67,80,67
IRF1,IRF1_170,952,303,311,338,303
IRF1,IRF1_241,731,218,204,309,204
IRF1,IRF1_199,443,132,137,174,132
IRF9,IRF9_325,546,168,177,201,168
IRF9,IRF9_81,406,120,114,172,114
IRF9,IRF9_111,195,66,60,69,60
KLF1,KLF1_347,684,189,260,235,189
KLF1,KLF1_395,573,146,213,214,146
KLF1,KLF1_636,134,29,51,54,29
LDB1,LDB1_732,426,119,149,158,119
LDB1,LDB1_141,190,50,64,76,50
LDB1,LDB1_265,150,48,47,55,47
LMO2,LMO2_351,519,138,173,208,138
LMO2,LMO2_428,330,93,96,141,93
LMO2,LMO2_459,214,70,73,71,70
MYB,MYB_518,209,57,80,72,57
MYB,MYB_339,136,40,50,46,40
MYB,MYB_136,59,15,28,16,15
NFE2,NFE2_288,958,269,297,392,269
NFE2,NFE2_682,464,140,154,170,140
NFE2,NFE2_533,458,123,158,177,123
NT,NT_3,574,179,175,220,175
NT,NT_1,398,105,144,149,105
NT,NT_2,372,105,118,149,105
NT,AAVS1_1,322,91,111,120,91
NT,AAVS1_2,305,91,103,111,91
NT,AAVS1_3,102,26,43,33,26
PRDM16,PRDM16_204,502,145,165,192,145
PRDM16,PRDM16_379,433,154,106,173,106
PRDM16,PRDM16_1182,383,113,119,151,113
RUNX1,RUNX1_844,232,59,87,86,59
RUNX1,RUNX1_615,78,24,25,29,24
RUNX1,RUNX1_312,73,22,28,23,22
SNAI2,SNAI2_167,769,223,278,268,223
SNAI2,SNAI2_523,384,111,148,125,111
SNAI2,SNAI2_80,140,44,48,48,44
SOX12,SOX12_162,783,216,280,287,216
SOX12,SOX12_310,401,107,158,136,107
SOX12,SOX12_268,210,63,60,87,60
SPI1,SPI1_295,370,103,137,130,103
SPI1,SPI1_140,343,108,105,130,105
SPI1,SPI1_69,244,67,75,102,67
TAL1,TAL1_556,314,89,120,105,89
TAL1,TAL1_536,284,81,101,102,81
TAL1,TAL1_523,216,59,62,95,59
