target,cells_total,guides_total,guides_representation_eligible,smallest_guide_total,smallest_guide_replicate_count
NT,2073,6,6,102,26
IRF1,2126,3,3,443,132
NFE2,1880,3,3,458,123
GATA2,1610,3,3,312,83
SOX12,1394,3,3,210,60
KLF1,1391,3,3,134,29
PRDM16,1318,3,3,383,106
SNAI2,1293,3,3,140,44
IRF9,1147,3,3,195,60
LMO2,1063,3,3,214,70
ATF4,1046,3,3,229,67
GFI1B,980,3,3,223,67
FOSL1,972,3,3,266,70
SPI1,957,3,3,244,67
TAL1,814,3,3,216,59
LDB1,766,3,3,150,47
BCL11A,755,3,3,220,64
GATA1,602,3,2,61,19
MYB,404,3,2,59,15
RUNX1,383,3,1,73,22
