target,guide,n_cells,crossfit_median_score,bootstrap_null_q95,bootstrap_p_value,direction_spearman,signature_genes,bootstrap_fdr,effective_guide
GATA1,GATA1_187,351,0.047245519470899555,0.1115047257530019,0.22877122877122877,0.5317949950015353,UBE2E3;MAP4K4;TSTA3;GPX4;FLACC1;ASCC3;PPME1;FAXDC2;C9orf78;TCEA1;ATP5MPL;STOM;GNAQ;NR3C1;MED28;MAN2A1;FBXL20;KLF3;ACHE;FAU;YARS;MPP1;ASAP1;JAK2;ABCC4;IL6ST;PRDX2;RPL13;YAF2;RASA1;GUK1;GDF15;ARL15;ZEB2;AC105402.3;MOB1B;PRDX6;CALM2;TRANK1;RPL9;KDM5A;PCGF5;UBAC1;SRSF4;ID2;SLC3A2;CPLANE1;KLF13;GADD45A;HP1BP3;ASAH1;TMEM140;MEF2A;PSMD1;LAMTOR1;TMCC2;RPS27L;WDR26;ATP6V0C;SCAND1;MARCH8;HNRNPC;VCL;NEDD4L;EID1;MAP1LC3B;ZFP91;AC068587.4;RPL10;CHMP2A;AAK1;NARS;CCDC71L;TRAK2;CNOT4;PTPN4;EIF5B;ANKRD12;TBC1D15;TOMM20;RGS6;SELENBP1;N4BP2L2;ZFAND5;ZC3HAV1;STK17A;DDI2;PAN3;ESR2;DIPK2A;GAPVD1;TOR1AIP2;SMIM1;TMBIM6;HSPA5;CA1;CR1L;FHDC1;SPAG9;JMJD1C,0.2889741837110258,False
GATA1,GATA1_261,184,0.23251613853870579,0.07919042560430589,0.001998001998001998,0.51568869416884,SLC30A1;STAU1;EZR;PAN3;COX5B;RPL15;ASAP1;CREBRF;AP1G1;IL6ST;RBM26;EAPP;SF3B1;PSMB4;NDUFB9;ISCU;ZC3HAV1;TMSB4X;CD36;CNOT4;NDEL1;KLF13;FTX;ATP6V0C;ZFAND5;NACA;SRSF4;KMT2C;RPS27L;UPF2;TASOR2;RPLP1;WAC;ZEB2;TSTA3;C11orf58;RTN3;C9orf78;HBB;CYTOR;CALM2;KLHDC8B;USP34;FAM210B;HNRNPC;ELF1;HSPA5;MOB1B;TRANK1;ATF7IP;FNBP4;HBG2;AP2S1;UBE2E3;AAK1;RHCE;SESN1;RPL13;RPL18A;AKAP8L;RPLP0;UROD;SND1;SPAG9;PRDX2;BBX;XPO7;TBC1D15;HK1;RPL10;SMIM1;NUP153;PRPF4B;ARL4A;RNF10;PPIP5K2;BCAS3;MEF2A;ANKRD12;RPS19;HBG1;CHST11;AC105402.3;PAFAH1B1;EP300;MARCH6;ASCC3;MLXIP;MAP2K3;FHDC1;TMBIM6;GAPVD1;RPS5;TOR1AIP2;ESR2;DDI2;TCEA1;JMJD1C;GDF15;SELENBP1,0.004795204795204795,True
GATA1,GATA1_674,59,-0.007672404601285272,0.2521284488269,0.42657342657342656,0.3451904960978755,LAMTOR1;MAP2K2;KMT2A;RPLP1;SCAND1;EIF3D;HBB;FLACC1;COPB1;KLF13;RPL15;TSC22D2;GOLGB1;EIF4A2;TSTA3;HK1;NACA;ATF7IP;HBG2;GBF1;EID1;CD36;CALM2;ELF1;ASCC3;ASAP1;AP2S1;COX7A2;N4BP2L2;UROD;BBX;AP1G1;FNBP4;ZEB2;SMIM1;PSMB4;ZCCHC7;USP34;ZFAND5;ARL4A;EAPP;MAP2K3;PRPF4B;HMGB2;PTK2B;TBC1D15;MEF2A;CNOT4;CYTOR;KLHL24;C9orf78;RASA1;AKAP8L;IL6ST;RPL18A;SESN1;ISG20;TRANK1;AAK1;CHST11;KMT2C;C11orf58;SRSF4;CHMP2A;MOB1B;PRDX6;MARCH6;ATP6V0C;RHCE;RNF10;WAC;RPL10;ZC3HAV1;HBG1;UBE2E3;FHDC1;PAN3;HP1BP3;NDUFB9;RPLP0;NEDD4L;RPS5;PRDX2;GDF15;AC105402.3;BCAS3;HSPA5;ANKRD12;RPS27L;XPO7;RPL13;TOR1AIP2;TMBIM6;JMJD1C;DDI2;TCEA1;ESR2;GAPVD1;SELENBP1;SPAG9,0.46535282898919256,False
NFE2,NFE2_288,929,0.6674939592426389,0.03084894358844086,0.000999000999000999,0.7953040175625511,KMT2E;SPAG9;YIPF6;HSPA5;SQSTM1;SESN1;PRDX6;GALNT5;NDUFB9;SP100;HBD;MAN2A1;OGA;LMO2;PRPF4B;SGMS1;BCAP29;PSMF1;RFX3-AS1;ABHD5;DCAF11;SRP14;BPTF;AP2S1;CA2;RERE;FTX;FOXP1;TSC22D2;CSTB;B2M;KMT2C;BBX;EZR;IGF1R;KLHDC8B;CHST11;FOXO1;HNRNPC;MAP1LC3B;RPL10;CD58;ATP6V0C;VPS13B;SLC4A1;EID1;HNRNPA1;RPS19;ANXA7;GCLC;EIF5;TMEM14C;RPL15;MBOAT2;DDHD1;MARCH3;N4BP2L2;AC068587.4;FAM210B;NIBAN1;ZDHHC17;C9orf78;PURPL;AC105402.3;NUDT4;HSP90AA1;S100A6;LINC02772;IL1R1;TXNRD1;OSBP2;HSP90AB1;ABCC4;AC079804.3;UPF2;PGM2L1;SLC25A21;FTL;RPL13;RPL12;MAP4K4;TMSB4X;TMEM14B;NR3C1;RPL9;TALDO1;HERC1;FBXW7;DDI2;ANKRD12;GDF15;CPLANE1;HBM;DAPK1;MPP1;HMOX1;TMBIM6;CR1L;ELL2;ESR2,0.0034251462822891396,True
NFE2,NFE2_533,447,0.5330742435222917,0.04458787421282694,0.000999000999000999,0.7493720920319379,RPL41;C1GALT1;MOB1B;TMSB4X;UBAP1;LXN;YIPF6;HNRNPA1;PTK2B;ZEB2;FAM13A;LMO2;HK1;MYO1D;NR3C1;PABPC1;ASCC3;ZNF451;XPO7;SLC25A21;KDM5A;HBD;HBA2;PHC3;FOXO1;TNRC6B;MAP4K4;C9orf78;EZR;RERE;HSP90AA1;KMT2E;RPL13;TBC1D15;ATP6V0C;TFRC;KLHDC8B;ANXA7;SP100;HBB;SPAG9;PSMF1;BCAS3;LINC02772;MAN2A1;CA2;PURPL;TXNRD1;UPF2;BPTF;CNOT4;HNRNPC;FTX;PGM2L1;AP2S1;PRDX6;GDF15;ZDHHC17;SLC4A1;AC068587.4;RPL12;OSBP2;KMT2C;RPL9;UROS;EID1;EIF5;AC105402.3;MBOAT2;FAM210B;GCLC;HSP90AB1;FTL;CD58;RFX3-AS1;FOXP1;IL1R1;N4BP2L2;CHST11;MARCH3;TMEM14B;HERC1;CPLANE1;AC079804.3;FBXW7;ABCC4;HMOX1;TALDO1;NIBAN1;DDHD1;NUDT4;HBM;TMBIM6;ANKRD12;DDI2;DAPK1;CR1L;MPP1;ESR2;ELL2,0.0034251462822891396,True
NFE2,NFE2_682,448,0.7773980915132106,0.02472318425136868,0.000999000999000999,0.7627133341276096,XPO7;RFESD;C1GALT1;BBX;HSPA5;RPL12;FAM13A;EIF5;IGF2BP2;C9orf78;UBAP1;PABPC1;RPL13;HBA2;PAFAH1B1;ZDHHC17;RPL41;ZEB2;PHC3;GDF15;BPTF;PTK2B;NR3C1;TFRC;PAN3;KDM5A;VPS13B;RNF213;KMT2E;ZCCHC7;HBB;CNOT4;KLHDC8B;PSMF1;ZNF451;AP2S1;LXN;ASCC3;TNRC6B;CA2;FTX;LINC02772;RERE;EZR;GCLC;FTL;HBD;MAP4K4;SPAG9;PGM2L1;TXNRD1;SLC25A21;ANXA7;KLHL24;RFX3-AS1;HK1;TMEM14B;FAM210B;AC068587.4;CHST11;SLC4A1;MAN2A1;EID1;KMT2C;UROS;TBC1D15;MARCH3;PURPL;RPL9;UPF2;OSBP2;HNRNPC;HSP90AB1;AC079804.3;CD58;TALDO1;AC105402.3;NIBAN1;ABCC4;MBOAT2;ATP6V0C;IL1R1;PRDX6;CPLANE1;DDHD1;FOXP1;HMOX1;HERC1;N4BP2L2;NUDT4;HBM;FBXW7;TMBIM6;DAPK1;DDI2;ANKRD12;CR1L;MPP1;ELL2;ESR2,0.0034251462822891396,True
GFI1B,GFI1B_140,214,0.21843911872330585,0.116408262736407,0.001998001998001998,0.5947285944011492,MGST3;RAB3GAP1;RPS24;ZFP91;SPAG9;CFL1;HBA2;KLF13;RPLP0;PCLAF;SOD1;ARL6IP4;TOR1AIP2;RPL7A;HSPD1;PURPL;GDF15;ZNF217;HIST1H3B;NACA;YARS;ADIPOR2;JMJD1C;NCOR1;PCGF5;VCL;DDX42;COX7A2L;NAA50;MTRNR2L12;TMEM131;KDM5A;RPS21;NEDD4L;BCAP29;CEP350;TSC22D2;REXO2;BBX;TBC1D15;TESC;UBAP1;WAC;RPL12;CR1L;MAP4K4;RBM39;ZFAND5;TBPL1;RPS19;AC124947.1;FOXP1;EIF4A2;MEF2A;NR3C1;CREBBP;IARS;HBD;NARS;FAU;AP1G1;ESR2;PRDX2;RTN3;PRKDC;BPTF;TBC1D23;HBB;CCDC71L;CNOT4;YTHDC1;HNRNPC;TFDP1;IL6ST;EIF3A;TMBIM6;GAPVD1;AC105402.3;HSPA5;TCEA1;GRB10;TSTA3;RPL13A;RHCE;SELENBP1;ANKRD12;ZEB2;FBXW7;FHDC1;N4BP2L2;DDI2;UPF2;RPL10;TMEM14B;RPL9;XPO7;RPLP1;RPL13;TMSB4X;MOB1B,0.004795204795204795,True
GFI1B,GFI1B_413,361,-0.0332488999176576,0.08022874364913261,0.44655344655344653,0.6521995461350815,DYRK1A;PPP1CB;EEF2;CBX3;SDCBP;KLHL24;RPS13;PABPC1;MAP3K5;LRRFIP2;SESN1;RGCC;RPL3;CFLAR;NAP1L1;TOMM20;RPS2;ANKRD12;GRB10;BCAP29;EPB42;RPS14;FHDC1;PTMA;PRPF4B;RPS6;NFIA;DDX42;AP1G1;C11orf58;RPL26;TESC;ELL2;TBC1D23;RPL12;RPS23;ZFAND5;FCHO2;GAPVD1;RPL36;TSTA3;RHCE;NACA;RPL7A;EIF3D;RTN3;TBPL1;TMEM131;HINT1;RPL39;RPS5;C9orf78;EIF3A;RPS8;N4BP2L2;PURPL;NARS;BPTF;PCGF5;TSC22D2;RPL37;RNF24;AC105402.3;RPS21;SELENBP1;HIST1H3B;JMJD1C;XPO7;TFRC;RPLP0;TFDP1;EIF4A2;COX7A2L;RPL15;RPS19;HBB;ZEB2;MOB1B;RPS17;MGST3;RPS24;WAC;TMBIM6;RPL14;DDI2;HSPA5;UPF2;TMEM14B;HBD;RPL18A;TCEA1;FBXW7;RPL13A;TMSB4X;IL6ST;RPL10;RPL13;CREBBP;RPL9;RPLP1,0.4659688137949008,False
GFI1B,GFI1B_526,378,0.05627094187469131,0.06865348426381916,0.07792207792207792,0.6525723579723915,TAOK3;RPS24;CREG1;FTX;HMGB2;EPB42;LARP7;REXO2;SEPTIN7;ESR2;NDUFB9;VCL;RNF10;MOB1B;PTP4A2;CNOT4;TBPL1;FAU;GAB1;RPS8;JAZF1;FAM210B;RBM39;GADD45A;NPM1;ZFP91;PRDX6;ZC3H15;NCOR1;IGF2BP2;CHMP2A;CCNI;HBB;HEMGN;SESN1;ZFAND5;RPL14;NARS;CEP350;RPL13A;AC105402.3;PRDX2;TFDP1;CPLANE1;AP1G1;GALNT5;PABPC1;FCHO2;TBC1D23;RPL39;HIST1H3B;KMT2E;NAA50;PPP3R1;HBM;TESC;HNRNPC;ISG20;C9orf78;RGCC;NEDD4L;JMJD1C;EEF2;BBX;SPAG9;RPS21;RHCE;FOXP1;C11orf58;CR1L;KLF13;ADIPOR2;NACA;IL6ST;RPLP0;ANKRD12;N4BP2L2;ELL2;BPTF;TMBIM6;RPL10;CCDC71L;ZEB2;UBAP1;SELENBP1;RPLP1;NFIA;XPO7;RPL9;UPF2;TMSB4X;TBC1D15;DDI2;PCGF5;FHDC1;NR3C1;FBXW7;RPL13;TSTA3;TMEM14B,0.12437562437562437,False
BCL11A,BCL11A_476,285,0.14893263972060505,0.1383714030904848,0.04495504495504495,0.5975414255182315,GRB10;JAK1;SNW1;NARS;TOMM20;JAK2;TXNRD1;RPL36;RPS21;BLVRB;PCBP1;PRDX2;PIP4K2A;CREG1;PABPC1;CHPT1;CTBP2;PUM2;PJA2;RNF10;HERC1;RHCE;RPS23;KLF13;EIF5;UROD;MLXIP;HBD;HBG1;ATF6;FHDC1;AC105402.3;USP34;ISG20;TMSB4X;HIST1H3B;ZC3HAV1;IL6ST;TASOR2;C9orf78;DDI2;ZFAND5;FCHO2;CNNM2;SESN1;RPLP0;CHMP2A;USP7;TNRC6B;AGO2;GAPVD1;HECTD1;LPIN2;MEF2A;PTMA;RSRP1;FOXO3;UPF2;FOXP1;HAGH;KLHL24;BPTF;MOB1B;LARP1;HNRNPC;YTHDC1;RPLP1;TSC22D2;TMEM131;PCGF5;TMBIM6;NEDD4L;TOR1AIP2;TRANK1;RAB3GAP1;RPL10;XPO7;CCDC71L;ASAP1;MARCH3;TCEA1;SPAG9;NCOA1;SLC3A2;RPL9;IQGAP2;HBB;DIPK2A;RNF24;N4BP2L2;RPL13;PCM1;MBNL1;JMJD1C;MBNL2;GDF15;NR3C1;ZEB2;HBG2;ANKRD12,0.07706579135150562,False
