TF,target,target_symbol,target_gene_id,signed_association,absolute_association,p_value,positive_sign_frequency,bootstrap_sign_consistency,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,fdr_global,stable_edge
NFE2,TFRC,TFRC,ENSG00000072274,0.29163698799935395,0.29163698799935395,6.959067978033186e-27,1.0,1.0,1.0,1.0,1.0,3.0438963335917153e-22,True
NFE2,JAZF1,JAZF1,ENSG00000153814,0.28467812829975053,0.28467812829975053,1.2152597887526596e-25,1.0,1.0,1.0,1.0,1.0,2.6577731580020666e-21,True
BCL11A,NBAS,NBAS,ENSG00000151779,0.27942874519683414,0.27942874519683414,9.96983652659942e-25,1.0,1.0,1.0,1.0,1.0,1.2887612525069113e-20,True
NFE2,SPTA1,SPTA1,ENSG00000163554,0.27850470557931406,0.27850470557931406,1.4373185325533702e-24,1.0,1.0,1.0,1.0,1.0,1.2887612525069113e-20,True
BCL11A,SLC25A21,SLC25A21,ENSG00000183032,0.27844227999734994,0.27844227999734994,1.4732067358332319e-24,1.0,1.0,1.0,1.0,1.0,1.2887612525069113e-20,True
NFE2,SLC4A1,SLC4A1,ENSG00000004939,0.269440433186355,0.269440433186355,4.830859153034258e-23,1.0,1.0,1.0,1.0,1.0,3.521696322561974e-19,True
BCL11A,JAZF1,JAZF1,ENSG00000153814,0.2654205053550973,0.2654205053550973,2.201006108410968e-22,1.0,1.0,1.0,1.0,1.0,1.3753143883127962e-18,True
NFE2,GYPA,GYPA,ENSG00000170180,0.26277319584881376,0.26277319584881376,5.891499950200916e-22,1.0,1.0,1.0,1.0,1.0,3.221177597772351e-18,True
BCL11A,CD36,CD36,ENSG00000135218,0.2605329241670866,0.2605329241670866,1.343728493172254e-21,1.0,1.0,1.0,1.0,1.0,6.5305204768171545e-18,True
NFE2,SLC25A37,SLC25A37,ENSG00000147454,0.2580003527172455,0.2580003527172455,3.38042421834979e-21,1.0,1.0,1.0,1.0,1.0,1.478597553106198e-17,True
BCL11A,NFIA,NFIA,ENSG00000162599,0.2562380457922823,0.2562380457922823,6.385361984965539e-21,1.0,1.0,1.0,1.0,1.0,2.5390521202035698e-17,True
NFE2,SOX6,SOX6,ENSG00000110693,0.2552008069603036,0.2552008069603036,9.263325388043362e-21,1.0,1.0,1.0,1.0,1.0,3.3764821039418056e-17,True
NFE2,ALAS2,ALAS2,ENSG00000158578,0.24834991013367289,0.24834991013367289,1.036764184623175e-19,1.0,1.0,1.0,1.0,1.0,3.4883127258013595e-16,True
BCL11A,SOX6,SOX6,ENSG00000110693,0.24773836374140837,0.24773836374140837,1.281655441366336e-19,1.0,1.0,1.0,1.0,1.0,4.004257786097396e-16,True
NFE2,SNCA,SNCA,ENSG00000145335,0.2469669256346492,0.2469669256346492,1.673330977449917e-19,1.0,1.0,1.0,1.0,1.0,4.707425650016559e-16,True
NFE2,GYPC,GYPC,ENSG00000136732,0.24688388274513692,0.24688388274513692,1.7219664014692488e-19,1.0,1.0,1.0,1.0,1.0,4.707425650016559e-16,True
NFE2,FECH,FECH,ENSG00000066926,0.24631383011390717,0.24631383011390717,2.0956282602107546e-19,1.0,1.0,1.0,1.0,1.0,5.391928241271671e-16,True
NFE2,RHAG,RHAG,ENSG00000112077,0.24198904680453442,0.24198904680453442,9.147302401894173e-19,1.0,1.0,1.0,1.0,1.0,2.222794483660284e-15,True
NFE2,TSPAN5,TSPAN5,ENSG00000168785,0.23983149702714757,0.23983149702714757,1.887574991221081e-18,1.0,1.0,1.0,1.0,1.0,4.304269644552189e-15,True
BCL11A,AC107223.1,AC107223.1,ENSG00000251600,0.239599270305971,0.239599270305971,2.0397779613321393e-18,1.0,1.0,0.99,1.0,1.0,4.304269644552189e-15,True
KLF1,SLC25A37,SLC25A37,ENSG00000147454,0.2395602383929372,0.2395602383929372,2.066521777219844e-18,1.0,1.0,1.0,1.0,1.0,4.304269644552189e-15,True
NFE2,OSBP2,OSBP2,ENSG00000184792,0.23888284570531146,0.23888284570531146,2.589745026500401e-18,1.0,1.0,1.0,1.0,1.0,5.148883975414888e-15,True
