selection_percent,minimum_bootstrap_frequency,selected_edges,selected_TFs,overlap_with_frozen_edges,jaccard_with_frozen,median_absolute_association,author_effect_025_rate,author_effect_025_edges,author_supported_concordant_rate,author_supported_concordant_edges
1,0.5,210,6,210,0.3392568659127625,0.16827156297387075,0.14761904761904762,31,0.09523809523809523,20
1,0.7,120,6,120,0.1938610662358643,0.18560531957405674,0.16666666666666666,20,0.09166666666666666,11
1,0.8,82,6,82,0.13247172859450726,0.20658957543972045,0.13414634146341464,11,0.07317073170731707,6
1,0.9,56,6,56,0.09046849757673667,0.21944090497226745,0.14285714285714285,8,0.07142857142857142,4
5,0.5,1126,6,619,0.5497335701598579,0.12647907789105378,0.08614564831261101,97,0.06127886323268206,69
5,0.7,619,6,619,1.0,0.1403444895874309,0.10339256865912763,64,0.06946688206785137,43
5,0.8,441,6,441,0.7124394184168013,0.1495147672089809,0.11564625850340136,51,0.07709750566893424,34
5,0.9,271,6,271,0.4378029079159935,0.163366084235999,0.13653136531365315,37,0.08118081180811808,22
10,0.5,2405,6,619,0.2573804573804574,0.1074514729058489,0.07318087318087318,176,0.04948024948024948,119
10,0.7,1311,6,619,0.47215865751334857,0.1249959347349492,0.08161708619374523,107,0.057971014492753624,76
10,0.8,934,6,619,0.6627408993576017,0.1340131577357945,0.08886509635974305,83,0.06531049250535331,61
10,0.9,576,6,547,0.8441358024691358,0.144914950929687,0.10416666666666667,60,0.06944444444444445,40
