parameter,value,E2_peaks,E2_edges,overlap_with_frozen_peaks,jaccard_with_frozen
link_fdr_max,0.01,10,4,10,0.9090909090909091
link_fdr_max,0.05,11,4,11,1.0
link_fdr_max,0.1,13,5,11,0.8461538461538461
minimum_absolute_link_correlation,0.02,11,4,11,1.0
minimum_absolute_link_correlation,0.03,11,4,11,1.0
minimum_absolute_link_correlation,0.05,4,2,4,0.36363636363636365
minimum_bootstrap_sign_fraction,0.7,11,4,11,1.0
minimum_bootstrap_sign_fraction,0.8,11,4,11,1.0
minimum_bootstrap_sign_fraction,0.9,11,4,11,1.0
minimum_peak_libraries,3.0,11,4,11,1.0
minimum_peak_libraries,4.0,11,4,11,1.0
minimum_peak_libraries,5.0,11,4,11,1.0
atac_fdr_max,0.01,8,4,8,0.7272727272727273
atac_fdr_max,0.05,11,4,11,1.0
atac_fdr_max,0.1,11,4,11,1.0
minimum_absolute_atac_effect,0.1,11,4,11,1.0
minimum_absolute_atac_effect,0.2,11,4,11,1.0
minimum_absolute_atac_effect,0.3,11,4,11,1.0
minimum_consistent_guides,1.0,11,4,11,1.0
minimum_consistent_guides,2.0,11,4,11,1.0
minimum_consistent_guides,3.0,11,4,11,1.0
minimum_absolute_rna_effect,0.1,11,4,11,1.0
minimum_absolute_rna_effect,0.25,11,4,11,1.0
minimum_absolute_rna_effect,0.4,8,3,8,0.7272727272727273
motif_relative_score_threshold,0.8,11,4,11,1.0
motif_relative_score_threshold,0.85,11,4,11,1.0
motif_relative_score_threshold,0.9,4,2,4,0.36363636363636365
