TF,timepoint,trajectory_shift_days,trajectory_shift_se,trajectory_shift_p_value,interaction_p_value,consistent_guides,minimum_guide_shift,targeting_guides,trajectory_shift_fdr,interaction_fdr,trajectory_shift_supported
GATA1,day 7,-0.6770497635399044,0.09860135329940257,3.1884859894470067e-09,1.1903810253125022e-05,3,0.5001017002476227,GATA1_187;GATA1_261;GATA1_674,3.4010517220768074e-08,9.523048202500018e-05,True
GATA1,day 9,-0.681638007704285,0.1003781101502373,4.328043059261453e-09,1.1903810253125022e-05,3,0.7300424762484949,GATA1_187;GATA1_261;GATA1_674,3.462434447409162e-08,9.523048202500018e-05,True
GATA1,day 11,-0.85012118918502,0.15509848036735438,7.641181175407491e-07,1.1903810253125022e-05,3,0.4314447124367066,GATA1_187;GATA1_261;GATA1_674,4.075296626883995e-06,9.523048202500018e-05,True
GATA1,day 14,0.17589109031414774,0.14791966184404967,0.23879397425775437,1.1903810253125022e-05,3,0.010602787007677842,GATA1_187;GATA1_261;GATA1_674,0.31839196567700584,9.523048202500018e-05,False
NFE2,day 7,0.0164341938162198,0.08834498749208729,0.8529973393119534,7.64814684513944e-05,2,0.022453410768432658,NFE2_288;NFE2_533;NFE2_682,0.8529973393119534,0.0002289962236588953,False
NFE2,day 9,-0.13329936174234602,0.07933296787609641,0.0976360085807023,7.64814684513944e-05,3,0.16235645680742383,NFE2_288;NFE2_533;NFE2_682,0.16443959339907757,0.0002289962236588953,False
NFE2,day 11,-0.5880848790953509,0.11744071807936321,4.36412153760845e-06,7.64814684513944e-05,3,0.449232441008735,NFE2_288;NFE2_533;NFE2_682,1.9950269886210057e-05,0.0002289962236588953,True
NFE2,day 14,-0.5145656847111406,0.10841589333677189,1.1538626693275193e-05,7.64814684513944e-05,3,0.14289470037959026,NFE2_288;NFE2_533;NFE2_682,4.102622824275624e-05,0.0002289962236588953,False
GFI1B,day 7,-0.5668574897969654,0.09337787926032948,6.991286361356236e-08,8.587358387208574e-05,3,0.32076166640029125,GFI1B_140;GFI1B_413;GFI1B_526,4.474423271267991e-07,0.0002289962236588953,True
GFI1B,day 9,-0.616368571241868,0.08957468462525248,2.6348113297203975e-09,8.587358387208574e-05,3,0.45394135449043516,GFI1B_140;GFI1B_413;GFI1B_526,3.4010517220768074e-08,0.0002289962236588953,True
