TF,target,response_pattern,refined_response_pattern,unresolved_reason,stable_small_response_supported,near_threshold_persistent,common_effect,common_effect_se,common_effect_fdr,interaction_fdr,guide_testable,effective_guides_used,all_timepoint_same_direction,all_timepoint_guide_consistent,temporal_equivalence_supported,uniformly_negligible_supported,effect_day 7,effect_day 9,effect_day 11,effect_day 14,effect_fdr_day 7,effect_fdr_day 9,effect_fdr_day 11,effect_fdr_day 14,consistent_guides_day 7,consistent_guides_day 9,consistent_guides_day 11,consistent_guides_day 14,E1_supported
BCL11A,NBAS,unresolved_no_interaction,temporally_stable_small_response_supported,small_common_response_supported,True,False,-0.09312023142244204,0.02514275295728268,0.0031038741708183945,0.9485822671081364,True,2,True,True,True,False,-0.0784550961764752,-0.0847914922367119,-0.0993260984087817,-0.1344384625977464,0.2295532951168878,0.2901571043843785,0.5814368351898648,0.1849723481252027,3,2,2,3,False
BCL11A,CD36,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.050522767475443625,0.03431760536829772,0.28725658356707007,0.478615205684812,True,2,False,False,False,False,-0.0215657998341912,0.0149728634932736,-0.206508886962085,-0.1094104942252843,0.8877641026948118,0.9302459922381292,0.3010176501025453,0.4987382782875211,1,2,3,3,False
BCL11A,SOX6,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.0528923909641879,0.06568140888416825,0.5800327561931995,0.7307670582750736,True,2,False,False,False,False,-0.1278939431527098,0.0383576351248361,-0.2120529565518912,0.0358250013172054,0.5223922431280386,0.910493066003772,0.6444316816382823,0.9484152389132324,1,2,3,3,False
BCL11A,AC107223.1,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,0.009213226652897137,0.041350288709092214,0.8983914140469955,0.560231410216532,True,2,False,False,False,False,0.0673371568230124,0.0658141559567864,-0.098032106619664,-0.1312380152011951,0.6084894638005979,0.6670003571903698,0.7443493538940761,0.5006103785126594,2,1,2,2,False
BCL11A,TFRC,unresolved_no_interaction,small_common_response_supported,small_common_response_supported,False,False,-0.05058407762220592,0.015532847598348092,0.00896809165661827,0.4107568309235098,True,2,False,False,True,False,-0.0372093578784352,-0.0559632955044295,-0.1264021672402271,0.0048913737432864,0.3988549475189193,0.229271917733264,0.0923987531818146,0.9692515561771186,3,3,3,1,False
BCL11A,H1F0,unresolved_no_interaction,reason_coded_unresolved,small_same_direction_not_equivalently_weak,False,False,-0.10398646089189613,0.04267111362470491,0.058609682300107636,0.6778348574270372,True,2,True,True,False,False,-0.1168952171161202,-0.0173790520870119,-0.1886810983100819,-0.1938307098520823,0.3079558713860714,0.9374328937865096,0.535033691485722,0.2641980695001159,3,2,3,3,False
BCL11A,MFHAS1,unresolved_no_interaction,reason_coded_unresolved,small_same_direction_not_equivalently_weak,False,False,-0.03189156111809385,0.028808554616811498,0.43109156085464145,0.5840399998133623,True,2,True,False,False,False,-0.003853446213001,-0.0033944102331461,-0.1648233609040634,-0.0278672598163012,0.9649129594209438,0.9831319102160206,0.3352301519646518,0.8885024148495961,1,1,3,3,False
BCL11A,MBOAT2,unresolved_no_interaction,small_common_response_supported,small_common_response_supported,False,False,-0.09853686784930657,0.027740898994082316,0.004402337944040621,0.6778348574270372,True,2,True,True,False,False,-0.0991201811905223,-0.0678043336042047,-0.0621488065355583,-0.1990869693198697,0.1607502758909436,0.4555288417899516,0.768373373512435,0.051644659358514,3,3,3,3,False
BCL11A,KLF13,unresolved_no_interaction,reason_coded_unresolved,near_zero_sign_crossing_common_unsupported,False,False,-0.04417907108897909,0.02835066763683212,0.2532034162548886,0.3989374553109798,True,2,False,True,False,False,0.0531340593061215,-0.0756516879104647,-0.139781005174542,-0.0756182601975086,0.5398544196955585,0.4130390136586449,0.4644995978160781,0.5759458471053123,2,3,3,2,False
BCL11A,PRDX2,unresolved_no_interaction,small_common_response_supported,small_common_response_supported,False,False,-0.06711679334773658,0.021274060996410726,0.0113405588530501,0.5184020307901149,True,2,True,False,True,False,-0.0129194893865749,-0.0678305069248955,-0.1514467478781071,-0.0935161631046578,0.8877641026948118,0.3053159222812519,0.1909254646317788,0.2853629090780182,1,3,3,3,False
