TF,target,target_symbol,target_gene_id,signed_association_day14,absolute_association_day14,stable_edge,detection_fraction,mean_cpm,rank_fraction_day14,author_TF_sensitive,author_log2fc,author_beta_weight,author_p_weight,author_effect_025,author_direction_concordant,author_supported_concordant,absolute_association,signed_association_day7,absolute_association_day7,rank_fraction_day7,loo_sign_fraction_day7,loo_fisher_z_sd_day7,detection_fraction_day7,mean_cpm_day7,signed_association_day9,absolute_association_day9,rank_fraction_day9,loo_sign_fraction_day9,loo_fisher_z_sd_day9,detection_fraction_day9,mean_cpm_day9,signed_association_day11,absolute_association_day11,rank_fraction_day11,loo_sign_fraction_day11,loo_fisher_z_sd_day11,detection_fraction_day11,mean_cpm_day11,estimable_prior_timepoints,prior_sign_concordance_fraction,prior_median_rank_fraction,prior_median_rank_score,prior_median_aligned_fisher_z,prior_fisher_z_sd,prior_association_sd,prior_association_range,prior_rank_sd,minimum_loo_sign_fraction,prior_association_heterogeneity_q,prior_association_heterogeneity_p,prior_association_heterogeneity_fdr,observationally_transportable,effective_guides_used,perturbation_log2fc,perturbation_fdr,E1_supported,E1_direction_concordant,strict_E1_testable,effect_day 7,effect_day 9,effect_day 11,effect_day 14,interaction_fdr,state_dependent,trajectory_shift_supported,fate_shift_associated,observational_perturbation_magnitude_spearman,observational_perturbation_oriented_spearman,observational_perturbation_direction_concordance_fraction,log1p_mean_cpm,descriptive_edge_class,day14_selected_not_preterminal_transportable,observationally_variable_and_perturbationally_variable,transportable_but_strict_E1_unsupported,observational_perturbation_direction_conflict
NFE2,TFRC,TFRC,ENSG00000072274,0.2916369879993539,0.2916369879993539,True,0.937883435582822,1553.4748777178845,0.0001371742112482,True,-0.0317121433124776,0.055876781754701,2.5964572769878897e-36,False,False,False,0.2916369879993539,0.011210678213228041,0.011210678213228041,0.7522293867471532,0.75,0.03194073282202597,0.995152354570668,1381.1922024179469,0.05047130249607576,0.05047130249607576,0.09807956104252401,1.0,0.015036802777803407,0.9982920580700824,1786.4999869214648,0.017326675636433603,0.017326675636433603,0.6920438957475995,0.6666666666666666,0.037278971517588154,0.9999999999999868,2006.8164183649449,3,1.0,0.6920438957475995,0.3079561042524005,0.017328409850559938,0.02114809278971642,0.021124110763234907,0.03926062428284772,0.36155403438902856,0.6666666666666666,1.6592780048988636,0.436206727462048,0.6634200597027217,False,3,0.097255569971859,0.1012249308920459,False,False,True,0.0317661185722582,0.0114803357902254,-0.0301126489274254,0.1252390346002933,0.0497661231856028,True,False,False,0.19999999999999998,-0.39999999999999997,0.25,7.348893068363319,variable_and_atlas_unsupported,True,True,False,True
NFE2,JAZF1,JAZF1,ENSG00000153814,0.2846781282997505,0.2846781282997505,True,0.8680981595092024,1282.192796212507,0.0002743484224965,True,-0.272913884329052,0.123528690937802,1.44412849422154e-35,True,False,False,0.2846781282997505,0.06734843737886888,0.06734843737886888,0.06461791740979558,1.0,0.021017004299574954,0.6675900277008388,140.46967640180273,0.1611640407738056,0.1611640407738056,0.00041152263374485596,1.0,0.016495020819182034,0.8723313407344565,340.8566981317211,0.14436057994365406,0.14436057994365406,0.007407407407407408,1.0,0.029584462103884573,0.9442993907745755,754.979722913062,3,1.0,0.007407407407407408,0.9925925925925926,0.1453761326957415,0.05069242603661089,0.050024317151170415,0.09381560339493673,0.03522415361802607,1.0,8.336839127756,0.015476700742306683,0.09852320066496525,True,3,0.1174166503877178,0.4710669162324659,False,False,True,0.1167556317382331,0.1637656169951648,0.0060425237580905,0.0857729054323423,0.6347408976751173,False,False,False,0.0,0.0,0.0,7.157106623172323,transportable_and_atlas_supported,False,False,True,True
BCL11A,NBAS,NBAS,ENSG00000151779,0.2794287451968341,0.2794287451968341,True,0.6871165644171779,413.35779000828063,0.0001371742112482,True,0.172124552757476,-0.0954734030388042,2.64727315430915e-12,False,True,False,0.2794287451968341,0.1540719431660915,0.1540719431660915,0.012210179722870078,1.0,0.01765407951912092,0.9265927977839595,463.70534128626406,0.2536200936615017,0.2536200936615017,0.00041152263374485596,1.0,0.014661687080706044,0.9602903501281478,656.7864234215973,0.2981187174095909,0.2981187174095909,0.00041152263374485596,1.0,0.004770470943411368,0.9582245430809283,779.8531242604344,3,1.0,0.00041152263374485596,0.9995884773662551,0.25927799563864967,0.07775874160638184,0.07375571723883345,0.1440467742434994,0.006811957846482534,1.0,16.302852034058514,0.0002883239115241503,0.008498690534926145,True,2,-0.0456137621198658,0.9121997433162178,False,False,True,-0.0784550961764752,-0.0847914922367119,-0.0993260984087817,-0.1344384625977464,0.9485822671081364,False,False,False,0.7999999999999999,0.7999999999999999,1.0,6.02672982766926,transportable_but_atlas_unsupported,False,False,True,False
NFE2,SPTA1,SPTA1,ENSG00000163554,0.278504705579314,0.278504705579314,True,0.8880368098159509,1226.036428324166,0.0004115226337448,True,-0.202116251327008,0.12286353440229,1.5307845671476102e-68,False,False,False,0.278504705579314,0.057815887146390514,0.057815887146390514,0.10934284538345453,1.0,0.026908432178958275,0.9148199445983631,449.8639911341758,0.0405224810955084,0.0405224810955084,0.17530864197530865,1.0,0.018849078904791292,0.9602903501281478,592.5090967538595,0.14009526291885674,0.14009526291885674,0.008916323731138546,1.0,0.04674548617012881,0.9730200174064282,887.9224579506277,3,1.0,0.10934284538345453,0.8906571546165455,0.05788043659837639,0.053710664069487796,0.05320353442267333,0.09957278182334833,0.08378879811948825,1.0,7.9606534336696075,0.018679535421972378,0.10706141135371204,False,3,0.1022918229221779,0.4710669162324659,False,False,True,0.2022024475306589,0.2170772825425286,0.0133579653787071,0.0882499592812146,0.0458305337381388,True,False,False,-0.7999999999999999,0.7999999999999999,0.0,7.112357133205954,variable_and_atlas_unsupported,True,True,False,True
BCL11A,SLC25A21,SLC25A21,ENSG00000183032,0.2784422799973499,0.2784422799973499,True,0.6480061349693251,590.5063909294981,0.0002743484224965,False,,,,False,False,False,0.2784422799973499,0.20430253273912272,0.20430253273912272,0.002469474550692825,1.0,0.016352392891629486,0.9259002770083362,952.7122580671894,0.23966350043244122,0.23966350043244122,0.0006858710562414266,1.0,0.017544072027808968,0.9718189581554763,1377.1057863158117,0.2758290257890477,0.2758290257890477,0.0006858710562414266,1.0,0.011260236801653981,0.970409051348987,1669.5787068477093,3,1.0,0.0006858710562414266,0.9993141289437586,0.2444170766367881,0.03797440484470534,0.03576400068166366,0.071526493049925,0.001029763957649072,1.0,3.669757170629182,0.15963288236774312,0.4083060044918138,True,2,-0.0320621203585478,0.9581216780102612,False,False,True,-0.0666501198244711,0.0160453155351365,-0.0854761532188346,-0.0890708412256256,0.5923932854871028,False,False,False,0.7999999999999999,0.7999999999999999,0.75,6.382672487974609,transportable_but_atlas_unsupported,False,False,True,False
NFE2,SLC4A1,SLC4A1,ENSG00000004939,0.269440433186355,0.269440433186355,True,0.9846625766871164,2584.959107528628,0.0005486968449931,False,,,,False,False,False,0.269440433186355,0.16075785358390218,0.16075785358390218,0.00013719303059404582,1.0,0.00586143328574781,0.33448753462603625,89.61902853508838,0.11847446387244151,0.11847446387244151,0.0016460905349794238,1.0,0.013560339661464785,0.6955593509820867,456.2626490957259,0.21021683615922565,0.21021683615922565,0.00041152263374485596,1.0,0.013820616601400888,0.9460400348128696,1567.366249180663,3,1.0,0.00041152263374485596,0.9995884773662551,0.16216455743853486,0.04724029500126469,0.045917932001351254,0.09174237228678414,0.0008037605688951601,1.0,6.953455640086938,0.030908383535651056,0.1449415864285455,True,3,-0.1493400988581195,0.0036832839292713,False,False,True,-0.0615723046827529,-0.0705133672961254,-0.3004482784134905,-0.1906969742106727,0.9147846333664906,False,True,False,0.6000000000000001,0.6000000000000001,1.0,7.857851746186137,transportable_but_atlas_unsupported,False,False,True,False
BCL11A,JAZF1,JAZF1,ENSG00000153814,0.2654205053550973,0.2654205053550973,True,0.8680981595092024,1282.192796212507,0.0004115226337448,True,0.115505164788528,-0.246939942594345,5.62518787485513e-32,False,True,False,0.2654205053550973,0.171812204743293,0.171812204743293,0.007134037590890383,1.0,0.013469950776114662,0.6675900277008388,140.46967640180273,0.23238498771494442,0.23238498771494442,0.0008230452674897119,1.0,0.006803288615110333,0.8723313407344565,340.8566981317211,0.32052127019096976,0.32052127019096976,0.00027434842249657066,1.0,0.02963677243786365,0.9442993907745755,754.979722913062,3,1.0,0.0008230452674897119,0.9991769547325103,0.23670913196617988,0.07989470451054917,0.07477906622393944,0.14870906544767676,0.0038119336261427527,1.0,16.017537552380464,0.0003325338906850476,0.008949499058001935,True,2,0.1002839688860453,0.6460810858940098,False,False,True,0.0005927561364876,-0.0205468183711382,-0.111376539541661,0.0570718191106943,0.7513265184380064,False,False,False,1.0,0.39999999999999997,0.5,7.157106623172323,transportable_but_atlas_unsupported,False,False,True,False
NFE2,GYPA,GYPA,ENSG00000170180,0.2627731958488137,0.2627731958488137,True,0.8757668711656442,836.7171154758335,0.0006858710562414,True,-0.123284653375198,0.0811218091041266,3.87189684060987e-12,False,False,False,0.2627731958488137,0.007212543077189235,0.007212543077189235,0.8370146796542736,0.75,0.022565387223723844,0.3905817174515205,42.09346221580081,0.08449624624396616,0.08449624624396616,0.011796982167352537,1.0,0.012767689506588903,0.7395388556789323,142.01044724996243,0.15343692279877205,0.15343692279877205,0.004526748971193415,1.0,0.022674279933704862,0.9643167972149577,592.383424778989,3,1.0,0.011796982167352537,0.9882030178326474,0.08469820232584462,0.07375483570275648,0.07315184764580054,0.1462243797215828,0.47855220183196645,0.75,13.956157811732794,0.0009320921210206772,0.016969559497405858,True,3,-0.0200638290073953,0.9008338793987144,False,False,True,0.1080726003647236,0.0604638771363401,-0.156086208092356,-0.0231271888377807,0.3660695585140567,False,True,False,-0.39999999999999997,0.7999999999999999,0.5,6.730680472460931,transportable_but_atlas_unsupported,False,False,True,False
BCL11A,CD36,CD36,ENSG00000135218,0.2605329241670866,0.2605329241670866,True,0.7661042944785276,688.5447643708304,0.0005486968449931,True,0.157850837956074,-0.122121658183507,2.70591646759049e-13,False,True,False,0.2605329241670866,0.10941199647135635,0.10941199647135635,0.045548086157223215,1.0,0.018842949175357223,0.9328254847645694,719.1833509433873,0.14266191381309515,0.14266191381309515,0.022359396433470506,1.0,0.007896974908005403,0.9846285226302857,1372.7424774337724,0.21539728036933728,0.21539728036933728,0.005349794238683128,1.0,0.02075474231591777,0.9886858137510751,1812.7046340332693,3,1.0,0.022359396433470506,0.9776406035665295,0.14364174558143775,0.05578116572943338,0.054204659938420705,0.10598528389798093,0.020178142345524754,1.0,7.77916274412957,0.02045390682270108,0.1120439674624068,True,2,-0.0548033523251523,0.8569887257117662,False,False,True,-0.0215657998341912,0.0149728634932736,-0.206508886962085,-0.1094104942252843,0.478615205684812,False,False,False,0.6000000000000001,0.6000000000000001,0.75,6.53603161807132,transportable_but_atlas_unsupported,False,False,True,False
NFE2,SLC25A37,SLC25A37,ENSG00000147454,0.2580003527172455,0.2580003527172455,True,0.9984662576687116,7309.786012898832,0.0008230452674897,True,-0.192962508930449,0.0542566593895299,4.39106786261833e-08,False,False,False,0.2580003527172455,0.1494762323670078,0.1494762323670078,0.0005487721223761833,1.0,0.026848849941809992,0.9404432132964259,762.3628122051656,0.17064650588733152,0.17064650588733152,0.00027434842249657066,1.0,0.016963597202275763,0.9756618274979191,1452.8432333439528,0.20888165017488022,0.20888165017488022,0.0005486968449931413,1.0,0.029828534622328602,0.9956483899042515,3836.9632297886114,3,1.0,0.0005486968449931413,0.9994513031550069,0.17233248489964684,0.031132352115201076,0.030108444010894114,0.059405417807872424,0.00015841687076016502,1.0,2.4247188023766775,0.2974945417604857,0.5659807576519421,True,3,0.0201401540431736,0.8395353032934146,False,False,True,0.0729907940575304,0.0881573122953522,-0.1359880392569741,-0.0023461125359697,0.4155500740319993,False,True,False,-0.19999999999999998,0.6000000000000001,0.5,8.897106072667704,transportable_but_atlas_unsupported,False,False,True,False
