TF,target,target_symbol,target_gene_id,signed_association,absolute_association,p_value,positive_sign_frequency,bootstrap_sign_consistency,bootstrap_top1_frequency,bootstrap_top5_frequency,bootstrap_top10_frequency,fdr_global,stable_edge,importance,rank_within_TF,percentile_within_TF,grnboost_top1,grnboost_top5,grnboost_top10,effective_guides_used,effective_guide_names,perturbation_log2fc,perturbation_p_value,guide_direction_consistent,minimum_absolute_guide_log2fc,leave_one_guide_out_direction_consistent,perturbation_fdr,E1_supported,direction_concordant_with_knockout,E1_direction_concordant,feature_index,effective_guides_used_time_resolved,effective_guide_names_time_resolved,strict_time_resolved_testable,strict_time_resolved_unresolved_reason,interaction_f_stat,interaction_p_value,model_df_numerator,model_df_denominator,effect_day 7,effect_se_day 7,effect_p_value_day 7,effect_day 9,effect_se_day 9,effect_p_value_day 9,effect_day 11,effect_se_day 11,effect_p_value_day 11,effect_day 14,effect_se_day 14,effect_p_value_day 14,effect_difference_day 7_vs_day 9,effect_difference_se_day 7_vs_day 9,effect_difference_p_value_day 7_vs_day 9,effect_difference_day 7_vs_day 11,effect_difference_se_day 7_vs_day 11,effect_difference_p_value_day 7_vs_day 11,effect_difference_day 7_vs_day 14,effect_difference_se_day 7_vs_day 14,effect_difference_p_value_day 7_vs_day 14,effect_difference_day 9_vs_day 11,effect_difference_se_day 9_vs_day 11,effect_difference_p_value_day 9_vs_day 11,effect_difference_day 9_vs_day 14,effect_difference_se_day 9_vs_day 14,effect_difference_p_value_day 9_vs_day 14,effect_difference_day 11_vs_day 14,effect_difference_se_day 11_vs_day 14,effect_difference_p_value_day 11_vs_day 14,consistent_effective_guides_day 7,effective_guide_direction_consistent_day 7,leave_one_effective_guide_out_direction_consistent_day 7,consistent_effective_guides_day 9,effective_guide_direction_consistent_day 9,leave_one_effective_guide_out_direction_consistent_day 9,consistent_effective_guides_day 11,effective_guide_direction_consistent_day 11,leave_one_effective_guide_out_direction_consistent_day 11,consistent_effective_guides_day 14,effective_guide_direction_consistent_day 14,leave_one_effective_guide_out_direction_consistent_day 14,effect_fdr_edge_time_day 7,effect_fdr_edge_time_day 9,effect_fdr_edge_time_day 11,effect_fdr_edge_time_day 14,interaction_fdr,effect_fdr_within_timepoint_day 7,strict_total_support_day 7,strict_direction_concordant_day 7,negligible_effect_supported_day 7,effect_fdr_within_timepoint_day 9,strict_total_support_day 9,strict_direction_concordant_day 9,negligible_effect_supported_day 9,effect_fdr_within_timepoint_day 11,strict_total_support_day 11,strict_direction_concordant_day 11,negligible_effect_supported_day 11,effect_fdr_within_timepoint_day 14,strict_total_support_day 14,strict_direction_concordant_day 14,negligible_effect_supported_day 14,effect_difference_fdr_edge_pair_day 7_vs_day 9,effect_difference_fdr_edge_pair_day 7_vs_day 11,effect_difference_fdr_edge_pair_day 7_vs_day 14,effect_difference_fdr_edge_pair_day 9_vs_day 11,effect_difference_fdr_edge_pair_day 9_vs_day 14,effect_difference_fdr_edge_pair_day 11_vs_day 14,strict_any_timepoint_support,strict_support_pattern,strict_temporal_support_class
BCL11A,SSX2IP,SSX2IP,ENSG00000117155,0.1897966581943535,0.1897966581943535,5.319535665615904e-12,1.0,1.0,0.62,0.98,0.99,3.877941500233994e-09,True,11.00285816192627,354.0,0.048559670781893,False,True,True,2,BCL11A_686;BCL11A_752,-0.3146324628658414,0.0662966460004536,True,0.0682458577763469,True,0.4158607794573909,False,True,False,1391,2,BCL11A_686;BCL11A_752,True,not_applicable,3.814432369311481,0.015173749039270901,3.0,52.0,0.015902671505971435,0.049177236307187865,0.7477084420721388,-0.09399159620949704,0.04724415743250338,0.051919092453833506,-0.10375760982369019,0.07583140684235583,0.17711181847267896,-0.2748923959897749,0.07104462491201168,0.0003058988298035652,0.10989426771546848,0.06819392188692595,0.11312547152626674,0.11966028132966162,0.09038142969937955,0.1913110797534424,0.2907950674957463,0.0864045097185409,0.0014423779792045435,0.009766013614193145,0.08934434887108446,0.9133792814356687,0.18090079978027782,0.08531910184944279,0.03877209318688651,0.17113478616608468,0.10391217923121099,0.10560595330974698,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.9190257952098403,0.30032010356195143,0.5330438567631695,0.01252575208353546,0.20429917146616058,0.9233605840192444,False,False,True,0.28563287109843716,False,True,False,0.5747839086363585,False,True,False,0.00626287604176773,True,True,False,0.6373046151347953,0.7248981206286408,0.09053127444526958,0.9924707834594276,0.4560944832946035,0.6150167133568616,True,0001,localized_support_no_detected_heterogeneity
BCL11A,CMAS,CMAS,ENSG00000111726,0.1498521921924347,0.1498521921924347,5.7506239360434217e-08,1.0,1.0,0.17,0.73,0.89,9.637252527300356e-06,True,11.306780815124512,286.0,0.0392318244170096,False,True,True,2,BCL11A_686;BCL11A_752,0.0222638587391529,0.8139775904259164,False,0.0301519692594676,True,0.9590810020570693,False,False,False,21374,2,BCL11A_686;BCL11A_752,True,not_applicable,2.5449871488719307,0.06605032075428183,3.0,52.0,-0.07008921546441921,0.054248075829146127,0.20206537577944675,-0.0020898525407907487,0.0521156703250516,0.9681667533851265,-0.2741445496655296,0.08365065256856818,0.0018713199338839734,-0.07872903223428328,0.07837028854988212,0.3197522358987771,-0.06799936292362846,0.07522563940967367,0.3701967349392782,0.20405533420111038,0.09970097996665876,0.04576017858869977,0.00863981676986407,0.09531398563986597,0.9281222746228613,0.27205469712473884,0.09855696205026189,0.007956050609954197,0.07663917969349253,0.0941166575098226,0.41918675408646944,-0.1954155174312463,0.11462693314635564,0.0942009728169665,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5727240862505036,0.99135622841688,0.04375000148542201,0.6639823665968709,0.3795515896699191,0.5727240862505036,False,True,False,0.9784814722036738,False,True,True,0.08088260603120728,True,True,False,0.6406709503837482,False,True,False,0.851857732175486,0.4905449929350352,0.9935989627366414,0.22925212498312464,0.8677736002527122,0.6129801716089487,True,0010,localized_support_no_detected_heterogeneity
NFE2,SOX6,SOX6,ENSG00000110693,0.2552008069603036,0.2552008069603036,9.263325388043362e-21,1.0,1.0,1.0,1.0,1.0,3.3764821039418056e-17,True,6.7774977684021,508.0,0.0696844993141289,False,False,True,3,NFE2_288;NFE2_533;NFE2_682,0.0740674275366182,0.2051015832505202,True,0.0316780056572794,True,0.6469489940244981,False,False,False,19310,3,NFE2_288;NFE2_533;NFE2_682,True,not_applicable,2.466575845798554,0.069828225438126,3.0,66.0,0.3716404301169265,0.11494111911168392,0.0019119537924220415,0.29802977877950304,0.10321604393171159,0.005246171592346415,-0.07528437093734375,0.15279607761029806,0.6238517366509798,0.05486960039621025,0.14105434233875058,0.6985311712142965,0.07361065133742344,0.15448304951534111,0.6352943929503618,0.44692480105427024,0.1912017316755749,0.022458211019191442,0.31677082972071624,0.1819554570637104,0.08635668981898523,0.3733141497168468,0.1843914126471329,0.046960657636358205,0.2431601783832928,0.1747852374130334,0.1688386734458162,-0.130153971333554,0.2079494381471363,0.5335440810079106,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.04375000148542201,0.08592676839674761,0.8737293449405262,0.9130076818338847,0.3795515896699191,0.04958333501681161,True,False,False,0.0971790833058455,False,False,False,0.8138693549740822,False,True,False,0.9218177161962208,False,False,False,0.9360959708736208,0.35658139128430494,0.5928132765809163,0.49138038692522484,0.7105368867397598,0.9039237393033234,True,1000,localized_support_no_detected_heterogeneity
NFE2,RHCE,RHCE,ENSG00000188672,0.211384766030027,0.211384766030027,1.3770246200524424e-14,1.0,1.0,0.99,1.0,1.0,1.7208873394598236e-11,True,8.146069526672363,182.0,0.0249657064471879,False,True,True,3,NFE2_288;NFE2_533;NFE2_682,0.1612609426002562,0.0009284131789759,True,0.1468907546815593,True,0.0269728460418287,False,False,False,566,3,NFE2_288;NFE2_533;NFE2_682,True,not_applicable,1.276790932495062,0.28960860723092535,3.0,66.0,0.28664377266029895,0.0938306477315754,0.003246002126948881,0.36202161408020006,0.0842590391780757,5.8303588865661244e-05,0.10308575437079132,0.12473303760934899,0.41152605525618285,0.1635832903246225,0.11514782881256086,0.16012951267712813,-0.07537784141990114,0.1261101745972128,0.5520760724928897,0.18355801828950763,0.15608498045930705,0.243814124513827,0.12306048233567646,0.14853690764915575,0.41038238170135005,0.2589358597094088,0.15052546746138265,0.09007970793499483,0.1984383237555776,0.14268359458416832,0.16897038482792054,-0.06049753595383117,0.1697567469984686,0.7226944122981497,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.05942093305332304,0.0041751094484948036,0.7402711467960932,0.5074572743902472,0.6871875840975029,0.06012832511348165,False,False,False,0.0037800160114570373,True,False,False,0.7321337443453685,False,False,False,0.46141022541779886,False,False,False,0.9134668155852391,0.7692123343897925,0.8677736002527122,0.6021707394701172,0.7105368867397598,0.952035431931496,True,0100,localized_support_no_detected_heterogeneity
NFE2,AC079804.3,AC079804.3,ENSG00000287860,0.1962997010649382,0.1962997010649382,9.490097757574685e-13,1.0,1.0,0.92,1.0,1.0,8.471364814618706e-10,True,8.41376781463623,147.0,0.0201646090534979,False,True,True,3,NFE2_288;NFE2_533;NFE2_682,-0.2910098165151125,0.0111591832751754,True,0.2369973227841798,True,0.1310610461254651,False,True,False,13141,3,NFE2_288;NFE2_533;NFE2_682,True,not_applicable,0.4484628445485111,0.7192156652456649,3.0,66.0,-0.40144254278152824,0.1156448490712945,0.0009181887992207381,-0.22265311493684656,0.10384798681680435,0.03571849530876139,-0.3179548698938933,0.15373157552746092,0.042539216981364744,-0.32433041854254924,0.14191795117955622,0.025513037816771663,-0.1787894278446817,0.15542887596140448,0.25417226142545163,-0.0834876728876349,0.19237236919806833,0.665711160993048,-0.077112124238979,0.18306948403195275,0.6749646678854064,0.09530175495704679,0.18552035381612064,0.6091775076313292,0.10167730360570269,0.17585536452694886,0.5651054886226968,0.0063755486486559015,0.2092226139334807,0.9757821389318804,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.02855142466587439,0.24701323866858985,0.2746932657426701,0.20391584218147396,0.9325829792685456,0.030343169020585713,True,True,False,0.22896650957805048,False,True,False,0.40022527029575244,False,True,False,0.15293688163610547,False,True,False,0.7742905449795618,0.9464019800529185,0.9464019800529185,0.9286873303798316,0.9139489675463464,0.9966822363080413,True,1000,localized_support_no_detected_heterogeneity
NFE2,SGMS1,SGMS1,ENSG00000198964,0.1748298017244999,0.1748298017244999,2.2386541583164232e-10,1.0,1.0,0.71,1.0,1.0,9.325593608072416e-08,True,4.099306106567383,3418.0,0.4688614540466392,False,False,False,3,NFE2_288;NFE2_533;NFE2_682,-0.2646660860911094,4.628176034584591e-05,True,0.2047602250283526,True,0.0036496473872724,True,True,True,18017,3,NFE2_288;NFE2_533;NFE2_682,True,not_applicable,3.4429946612592457,0.021613323136718366,3.0,66.0,-0.09729308533283326,0.04243800841148172,0.025066794154871938,-0.115307611730992,0.03810893242058735,0.0035332863214012113,-0.20449403272271277,0.05641463452749781,0.0005632414666310138,-0.28922020113286767,0.052079407377541596,5.385952381962617e-07,0.018014526398158735,0.05703749019872707,0.7531231612519761,0.10720094738987951,0.07059458581792333,0.13365344744592184,0.1919271158000344,0.067180720677356,0.0057161320033685984,0.08918642099172078,0.06808011250804483,0.19472984518820058,0.17391258940187568,0.06453336658685044,0.008920983614007371,0.0847261684101549,0.0767780936313678,0.27380869673031416,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.20326814247096722,0.06319302892069292,0.01905225482777951,7.618674460303483e-05,0.2521526612203854,0.19951066864183598,False,True,False,0.06872241895125356,False,True,False,0.03651682175324406,False,True,False,2.9930506808335113e-05,True,True,False,0.9590005047303853,0.6676164020502035,0.19601894180884605,0.7248981206286408,0.24408742209891915,0.7971200927714037,True,0001,localized_support_no_detected_heterogeneity
NFE2,LRRN2,LRRN2,ENSG00000170382,0.1681912229717123,0.1681912229717123,1.063656175947438e-09,1.0,1.0,0.63,0.98,1.0,3.4462460100697e-07,True,6.608342170715332,590.0,0.0809327846364883,False,False,True,3,NFE2_288;NFE2_533;NFE2_682,0.1263257595426887,0.3183511561046247,True,0.0888757323937456,True,0.7164056345758232,False,False,False,2809,3,NFE2_288;NFE2_533;NFE2_682,True,not_applicable,2.133123276826728,0.10437845343654839,3.0,66.0,0.47953618212703875,0.21053256991380387,0.02598851270305275,0.6076888952306824,0.1890562677066401,0.002024449702456869,-0.16958320742981714,0.27986982500829943,0.5466355603687508,0.13124002814944502,0.2583630072474206,0.6131696218295221,-0.1281527131036436,0.2829597769183378,0.6521055432085083,0.6491193895568559,0.3502157648431704,0.06828324898600598,0.3482961539775937,0.3332797721261245,0.29980944480068306,0.7772721026604995,0.33774160435063505,0.024535574191697315,0.47644886708123735,0.3201463975638262,0.14145508326843476,-0.30082323557926216,0.38089179889321173,0.43248080379346654,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.20631696819362283,0.04436681319750547,0.8282034390786527,0.866568511868062,0.46792395536274584,0.2021906288297504,False,False,False,0.05250072895038147,True,False,False,0.7824980456423705,False,True,False,0.8867025386307958,False,False,False,0.9428541767065278,0.5514827913989794,0.8093415953142039,0.3817735344228102,0.6713684577985934,0.8718536819562901,True,0100,localized_support_no_detected_heterogeneity
NFE2,ACSL6,ACSL6,ENSG00000164398,0.1575918467570387,0.1575918467570387,1.1289885949023367e-08,1.0,1.0,0.56,0.98,0.99,2.494038441466072e-06,True,9.10499668121338,81.0,0.0111111111111111,False,True,True,3,NFE2_288;NFE2_533;NFE2_682,0.1469322780388904,0.3003194203141133,True,0.0331944660172345,True,0.6994781435164158,False,False,False,10437,3,NFE2_288;NFE2_533;NFE2_682,True,not_applicable,2.0725384419398956,0.11227740829465331,3.0,66.0,0.3595917130104858,0.2319772843915787,0.12589591031275377,0.8838993978817966,0.2083134196183968,7.03211925465093e-05,0.46291100982348293,0.3083771884566486,0.13809388359389585,0.055085631696928594,0.28467969983474145,0.8471613834758268,-0.5243076848713107,0.31178188091484993,0.09736333096643235,-0.10331929681299713,0.38588852125208223,0.7897314321362259,0.3045060813135572,0.3672274390234067,0.40997852867639617,0.4209883880583136,0.37214375065764255,0.2620428435596707,0.828813766184868,0.3527563072307974,0.021798054917037707,0.40782537812655434,0.4196891967378072,0.33473185909996456,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,0.4472466585539837,0.004620020557269419,0.46978587725017085,0.9483331745959614,0.4699830837231472,0.4258566009709671,False,False,False,0.003907849128656017,True,False,False,0.5595679241460988,False,False,False,0.9526051020748979,False,False,False,0.6129801716089487,0.9637668374906166,0.8677736002527122,0.7841307445123874,0.35432728444040673,0.831486079961247,True,0100,localized_support_no_detected_heterogeneity
NFE2,ACKR1,ACKR1,ENSG00000213088,0.1543335717316595,0.1543335717316595,2.2627676233809444e-08,1.0,1.0,0.4,0.91,0.96,4.527164458584725e-06,True,7.05194902420044,409.0,0.0561042524005487,False,False,True,3,NFE2_288;NFE2_533;NFE2_682,0.1729484094405702,0.1637773085853087,True,0.3164871411217114,True,0.608156979748136,False,False,False,2262,3,NFE2_288;NFE2_533;NFE2_682,True,not_applicable,1.6590319741737174,0.18434298804673535,3.0,66.0,0.5639775661973724,0.13333474213783159,7.367700109524331e-05,0.2914429280337515,0.11973334441567053,0.01764245222732512,0.16364170169007008,0.1772474965033662,0.3592459631210341,0.1734450005345199,0.16362677263377126,0.2930067073346422,0.2725346381636209,0.179204428589038,0.1330859764503552,0.4003358645073023,0.22179907231021698,0.07564449937011689,0.3905325656628525,0.21107314889276166,0.06875813723097815,0.1278012263436814,0.21389892188057516,0.5522286532951038,0.1179979274992316,0.20275550421013344,0.5625685720067866,-0.009803298844449804,0.2412268553442064,0.9677061134144854,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.004620020557269419,0.17326339552308892,0.6943934392749428,0.6582697604960527,0.602600187816639,0.0071650883565124125,True,False,False,0.1655835728332584,False,False,False,0.6767297703801677,False,False,False,0.6217980575496498,False,False,False,0.6676164020502035,0.5587160174995343,0.5514827913989794,0.9134668155852391,0.9139489675463464,0.9966822363080413,True,1000,localized_support_no_detected_heterogeneity
NFE2,HMOX1,HMOX1,ENSG00000100292,-0.1533903101048274,0.1533903101048274,2.7598403508515263e-08,0.0,1.0,0.48,0.98,1.0,5.341390130364857e-06,True,7.409639358520508,308.0,0.0422496570644718,False,True,True,3,NFE2_288;NFE2_533;NFE2_682,2.038394742867001,2.179505319790305e-06,True,2.1722606549152674,True,0.0004010289788414,True,True,True,34925,3,NFE2_288;NFE2_533;NFE2_682,True,not_applicable,3.356331278660659,0.023969729671969208,3.0,66.0,0.48042941521354604,0.2568319075889315,0.06583548821350023,1.4510844621379428,0.23063263748986543,2.8799705246702503e-08,1.4263011955728002,0.34141748738872485,8.836513910127446e-05,1.453940154886559,0.31518099089815577,1.8782779406751874e-05,-0.9706550469243969,0.34518696706466356,0.006477555923988282,-0.9458717803592542,0.427233577157273,0.030292533445780468,-0.9735107396730129,0.40657310016688614,0.01949438413351723,0.024783266565142625,0.4120161576569077,0.9522169816497948,-0.002855692748616079,0.39055149532305594,0.9941880172741133,-0.027638959313758704,0.4646557410797519,0.9527474193267228,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.33477130607910577,1.00585341117858e-05,0.0048768535911608065,0.0016236669309392176,0.2590062456221117,0.3085542760849589,False,True,False,5.601542670483637e-06,True,True,False,0.008839297133978961,True,True,False,0.0006642273808387709,True,True,False,0.2008088379653929,0.3980976212051063,0.33647300528929,0.9945046854689495,0.9992598330027616,0.9945046854689495,True,0111,localized_support_no_detected_heterogeneity
NFE2,ANKH,ANKH,ENSG00000154122,0.1492173912901664,0.1492173912901664,6.54848974899023e-08,1.0,1.0,0.36,0.96,1.0,1.0647990394826492e-05,True,7.638438701629639,253.0,0.0347050754458161,False,True,True,3,NFE2_288;NFE2_533;NFE2_682,0.2136904606994598,0.0104185179459979,True,0.1691504059148473,True,0.1272427893563605,False,False,False,9548,3,NFE2_288;NFE2_533;NFE2_682,True,not_applicable,1.9750012579332272,0.1262547222845359,3.0,66.0,0.1839986842289747,0.05981871998678307,0.003052521170200395,0.17623382379750566,0.053716647948200934,0.0016556888558336114,0.012741002652091826,0.0795195475064771,0.8731933835430268,0.27240084999320713,0.07340880506899343,0.00042629034095171913,0.0077648604314690456,0.08039749702352755,0.9233519247531138,0.17125768157688287,0.0995069731048635,0.08992451518546393,-0.08840216576423243,0.0946949413776398,0.35394054696180655,0.16349282114541383,0.0959626839059112,0.09313936930928833,-0.09616702619570147,0.09096334936911916,0.2942717539190352,-0.2596598473411153,0.10822296936090944,0.019257821742109483,3.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,0.058021058695226634,0.04089288666154126,0.955477429530907,0.01617606237675309,0.5013990941728911,0.06012832511348165,False,False,False,0.0494828317144139,False,False,False,0.9306088388992806,False,False,False,0.007620568682428136,True,False,False,0.9935989627366414,0.6021707394701172,0.841848188552844,0.6129801716089487,0.8074233238695967,0.33647300528929,True,0001,localized_support_no_detected_heterogeneity
NFE2,NFIA,NFIA,ENSG00000162599,0.1483754542034812,0.1483754542034812,7.773470933831445e-08,1.0,1.0,0.32,0.95,0.99,1.2274787676743224e-05,True,4.1217451095581055,3364.0,0.4614540466392318,False,False,False,3,NFE2_288;NFE2_533;NFE2_682,-0.189652999625292,0.0017409175576385,True,0.1379767121989118,True,0.0355920922894983,False,True,False,1200,3,NFE2_288;NFE2_533;NFE2_682,True,not_applicable,14.634084233901149,2.0815016096667528e-07,3.0,66.0,-0.008176804522610718,0.02734622980283732,0.7658716929102435,-0.04001260694985315,0.024556657169430843,0.10799257534654441,-0.25593147496277757,0.036352496683483546,1.3735368133753804e-09,-0.1968725200025195,0.03355896036244055,1.5742548366749616e-07,0.031835802427242425,0.036753852801666216,0.38952421347864824,0.24775467044016686,0.0454897823643098,8.164827343055249e-07,0.1886957154799088,0.043289953858111754,4.67808787337563e-05,0.21591886801292443,0.04386950451577544,6.016223749658297e-06,0.15685991305266636,0.041584050210926,0.00034858196768993967,-0.059058954960258064,0.04947431490915804,0.2368568489604155,2.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.9260212140584342,0.42433446272531083,2.137223281612092e-06,3.4993436083803435e-05,8.097041261603668e-05,0.9310127766940146,False,True,True,0.4000867791410074,False,True,True,5.34305820403023e-07,True,True,False,1.4775786820312561e-05,False,True,False,0.8658566802468238,0.001629009834243262,0.010918657096458721,0.003510466557925616,0.03874239583753901,0.7666539976300941,True,0010,time_varying_support_candidate
